exp_id,mode,freq_compare6,freq_h5,diff_h5_minus_compare6,rel_diff
CA_07+13_Mid_AA,axial,0.3421,0.34209999442100525,-5.5789947661644135e-09,1.6308081748507493e-08
CA_07+13_Mid_AA,planar_rotation,0.4118,0.41179999709129333,-2.9087066644173376e-09,7.063396465316507e-09
CA_07+13_Mid_AA,radial,0.3421,0.34209999442100525,-5.5789947661644135e-09,1.6308081748507493e-08
CA_07+13_Mid_AR,axial,0.3425,0.3425000011920929,1.19209286886246e-09,3.480563120766306e-09
CA_07+13_Mid_AR,planar_rotation,0.4035,0.4034999907016754,-9.298324610274022e-09,2.3044174994483325e-08
CA_07+13_Mid_AR,radial,0.3425,0.3425000011920929,1.19209286886246e-09,3.480563120766306e-09
CA_07+13_Mid_RA,axial,0.3378,0.337799996137619,-3.862380970609536e-09,1.1433928272970798e-08
CA_07+13_Mid_RA,planar_rotation,0.4039,0.40389999747276306,-2.527236919735998e-09,6.257085713632082e-09
CA_07+13_Mid_RA,radial,0.3378,0.337799996137619,-3.862380970609536e-09,1.1433928272970798e-08
CA_07+13_Mid_RR,axial,0.3412,0.34119999408721924,-5.91278076500501e-09,1.7329369182312458e-08
CA_07+13_Mid_RR,planar_rotation,0.3994,0.399399995803833,-4.1961669694501325e-09,1.050617668865832e-08
CA_07+13_Mid_RR,radial,0.3412,0.34119999408721924,-5.91278076500501e-09,1.7329369182312458e-08
CA_07_A,axial,0.6913,0.6912999749183655,-2.5081634547063913e-08,3.628183790982773e-08
CA_07_A,planar_rotation,0.7888,0.7888000011444092,1.1444092340440193e-09,1.450823065471627e-09
CA_07_A,radial,0.6913,0.6912999749183655,-2.5081634547063913e-08,3.628183790982773e-08
CA_07_R,axial,0.6912,0.6912000179290771,1.792907711184455e-08,2.593905832153436e-08
CA_07_R,planar_rotation,0.801,0.8009999990463257,-9.536743617033494e-10,1.1906046962588631e-09
CA_07_R,radial,0.6912,0.6912000179290771,1.792907711184455e-08,2.593905832153436e-08
CA_07_Top_A,axial,0.5791,0.5791000127792358,1.277923589171337e-08,2.206740785997819e-08
CA_07_Top_A,planar_rotation,0.7112,0.7111999988555908,-1.1444092340440193e-09,1.6091243448312981e-09
CA_07_Top_A,radial,0.5791,0.5791000127792358,1.277923589171337e-08,2.206740785997819e-08
CA_07_Top_R,axial,0.5633,0.5633000135421753,1.3542175270053747e-08,2.4040786916480998e-08
CA_07_Top_R,planar_rotation,0.6606,0.6606000065803528,6.580352818197355e-09,9.961175928243044e-09
CA_07_Top_R,radial,0.5633,0.5633000135421753,1.3542175270053747e-08,2.4040786916480998e-08
CA_13+07_Mid_AA,axial,0.3394,0.3393999934196472,-6.5803527626862035e-09,1.9388193172322345e-08
CA_13+07_Mid_AA,planar_rotation,0.4109,0.4108999967575073,-3.2424926632579343e-09,7.891196552100107e-09
CA_13+07_Mid_AA,radial,0.3394,0.3393999934196472,-6.5803527626862035e-09,1.9388193172322345e-08
CA_13+07_Mid_AR,axial,0.3365,0.33649998903274536,-1.0967254659988157e-08,3.2592138662669115e-08
CA_13+07_Mid_AR,planar_rotation,0.412,0.41200000047683716,4.768371808516747e-10,1.1573717981836765e-09
CA_13+07_Mid_AR,radial,0.3365,0.33649998903274536,-1.0967254659988157e-08,3.2592138662669115e-08
CA_13+07_Mid_RA,axial,0.3373,0.33730000257492065,2.574920665576741e-09,7.633918368149246e-09
CA_13+07_Mid_RA,planar_rotation,0.4178,0.41780000925064087,9.25064086443328e-09,2.214131370137214e-08
CA_13+07_Mid_RA,radial,0.3373,0.33730000257492065,2.574920665576741e-09,7.633918368149246e-09
CA_13+07_Mid_RR,axial,0.3374,0.33739998936653137,-1.0633468605636409e-08,3.151591169423951e-08
CA_13+07_Mid_RR,planar_rotation,0.4235,0.4235000014305115,1.4305114870438729e-09,3.3778311382381887e-09
CA_13+07_Mid_RR,radial,0.3374,0.33739998936653137,-1.0633468605636409e-08,3.151591169423951e-08
CA_13_A,axial,0.4831,0.4830999970436096,-2.9563903547469295e-09,6.119624000718132e-09
CA_13_A,planar_rotation,0.5939,0.5939000248908997,2.4890899674723244e-08,4.1910927217920935e-08
CA_13_A,radial,0.4831,0.4830999970436096,-2.9563903547469295e-09,6.119624000718132e-09
CA_13_R,axial,0.473,0.4729999899864197,-1.0013580298284808e-08,2.11703600386571e-08
CA_13_R,planar_rotation,0.549,0.5490000247955322,2.4795532183041757e-08,4.5164903794247277e-08
CA_13_R,radial,0.473,0.4729999899864197,-1.0013580298284808e-08,2.11703600386571e-08
CA_13_Top_A,axial,0.4346,0.43459999561309814,-4.386901841790802e-09,1.0094113763899683e-08
CA_13_Top_A,planar_rotation,0.5654,0.5654000043869019,4.386901841790802e-09,7.758934987249386e-09
CA_13_Top_A,radial,0.4346,0.43459999561309814,-4.386901841790802e-09,1.0094113763899683e-08
CA_13_Top_R,axial,0.4371,0.43709999322891235,-6.771087635026873e-09,1.549093487766386e-08
CA_13_Top_R,planar_rotation,0.5612,0.5612000226974487,2.269744869831669e-08,4.044449162208961e-08
CA_13_Top_R,radial,0.4371,0.43709999322891235,-6.771087635026873e-09,1.549093487766386e-08
CSBD_07_A,axial,0.69619,0.6961899995803833,-4.1961667474055275e-10,6.027329820028337e-10
CSBD_07_A,planar_rotation,0.8522,0.8521999716758728,-2.8324127154810697e-08,3.323647870782762e-08
CSBD_07_A,radial,0.5457,0.5457000136375427,1.3637542761735233e-08,2.499091581772995e-08
CSBD_07_R,axial,0.7128,0.7128000259399414,2.5939941417085777e-08,3.6391612537999125e-08
CSBD_07_R,planar_rotation,0.8596,0.8596000075340271,7.534027068878402e-09,8.764573137364358e-09
CSBD_07_R,radial,0.5291,0.5291000008583069,8.583068700218632e-10,1.622201606542928e-09
CSBD_13_A,axial,0.4763,0.4763000011444092,1.144409178532868e-09,2.4027066523889733e-09
CSBD_13_A,planar_rotation,0.5595,0.559499979019165,-2.0980834958272965e-08,3.749925819173005e-08
CSBD_13_A,radial,0.4221,0.4221000075340271,7.534027124389553e-09,1.7848915243756345e-08
CSBD_13_R,axial,0.4774,0.477400004863739,4.863739022642477e-09,1.0187974492338662e-08
CSBD_13_R,planar_rotation,0.5605,0.5605000257492065,2.5749206544745107e-08,4.593970837599484e-08
CSBD_13_R,radial,0.415,0.41499999165534973,-8.344650248570673e-09,2.010759096041126e-08
CSB_07_A,axial,0.5873,0.5873000025749207,2.5749206100655897e-09,4.3843361315606835e-09
CSB_07_A,planar_rotation,0.81829,0.8182899951934814,-4.806518516531355e-09,5.8738570879900225e-09
CSB_07_A,radial,0.411,0.41100001335144043,1.3351440453224228e-08,3.24852565771879e-08
CSB_07_R,axial,0.5786,0.5785999894142151,-1.0585784915306817e-08,1.8295514889918455e-08
CSB_07_R,planar_rotation,0.82229,0.8222900032997131,3.2997131693690562e-09,4.012833877791359e-09
CSB_07_R,radial,0.4139,0.4138999879360199,-1.2063980092680282e-08,2.9147088892680073e-08
CSB_13_A,axial,0.4291,0.42910000681877136,6.8187713808676165e-09,1.5890867818381767e-08
CSB_13_A,planar_rotation,0.69267,0.6926699876785278,-1.2321472175891302e-08,1.7788372783419667e-08
CSB_13_A,radial,0.3485,0.34850001335144043,1.3351440453224228e-08,3.831116342388588e-08
CSB_13_R,axial,0.4405,0.4404999911785126,-8.821487429422348e-09,2.002607815986912e-08
CSB_13_R,planar_rotation,0.69567,0.6956700086593628,8.659362782381663e-09,1.2447515032100943e-08
CSB_13_R,radial,0.3504,0.35040000081062317,8.106231796922714e-10,2.313422316473377e-09
TB_07+07_MidTop_AA,axial,0.3652,0.365200012922287,1.2922286962702145e-08,3.538413735679667e-08
TB_07+07_MidTop_AA,planar_rotation,0.4024,0.4023999869823456,-1.301765439887248e-08,3.235003578248629e-08
TB_07+07_MidTop_AA,radial,0.3198,0.3197999894618988,-1.0538101169466074e-08,3.295216125536609e-08
TB_07+07_MidTop_AR,axial,0.3594,0.3594000041484833,4.148483279120541e-09,1.154280266867151e-08
TB_07+07_MidTop_AR,planar_rotation,0.4087,0.40869998931884766,-1.0681152351477152e-08,2.6134456450886107e-08
TB_07+07_MidTop_AR,radial,0.3203,0.32030001282691956,1.2826919582042962e-08,4.0046580025110715e-08
TB_07+07_MidTop_RA,axial,0.3711,0.3711000084877014,8.487701430581751e-09,2.287173654158381e-08
TB_07+07_MidTop_RA,planar_rotation,0.4099,0.4099000096321106,9.632110609114619e-09,2.3498684091521393e-08
TB_07+07_MidTop_RA,radial,0.3213,0.3212999999523163,-4.7683690329591855e-11,1.484086222520755e-10
TB_07+07_MidTop_RR,axial,0.3625,0.36250001192092896,1.1920928966180355e-08,3.2885321286014776e-08
TB_07+07_MidTop_RR,planar_rotation,0.4176,0.41760000586509705,5.865097019164267e-09,1.4044772555469987e-08
TB_07+07_MidTop_RR,radial,0.3216,0.3215999901294708,-9.870529171784881e-09,3.0691943942117166e-08
TB_07+07_Mid_AA,axial,0.3815,0.3815000057220459,5.72204589266434e-09,1.4998809679329856e-08
TB_07+07_Mid_AA,planar_rotation,0.43,0.4300000071525574,7.152557379708213e-09,1.663385437141445e-08
TB_07+07_Mid_AA,radial,0.334,0.33399999141693115,-8.583068866752086e-09,2.5697810978299657e-08
TB_07+07_Mid_AR,axial,0.3833,0.3833000063896179,6.389617945856685e-09,1.6670018121201894e-08
TB_07+07_Mid_AR,planar_rotation,0.4297,0.42969998717308044,-1.2826919582042962e-08,2.9850871729213314e-08
TB_07+07_Mid_AR,radial,0.3334,0.33340001106262207,1.1062622096158492e-08,3.318123004246699e-08
TB_07+07_Mid_RA,axial,0.3872,0.3871999979019165,-2.0980834847250662e-09,5.418604041128787e-09
TB_07+07_Mid_RA,planar_rotation,0.432,0.4320000112056732,1.1205673222658419e-08,2.5939058385783376e-08
TB_07+07_Mid_RA,radial,0.337,0.3370000123977661,1.2397766091520879e-08,3.67886234169759e-08
TB_07+07_Mid_RR,axial,0.3868,0.38679999113082886,-8.86917111975194e-09,2.292960475633904e-08
TB_07+07_Mid_RR,planar_rotation,0.4266,0.42660000920295715,9.202957174103688e-09,2.1572801627059748e-08
TB_07+07_Mid_RR,radial,0.3361,0.3361000120639801,1.2063980092680282e-08,3.5894019912764894e-08
TB_07+13_MidTop_AA,axial,0.3159,0.3158999979496002,-2.0503997943954744e-09,6.490660950919513e-09
TB_07+13_MidTop_AA,planar_rotation,0.3554,0.3553999960422516,-3.957748406779871e-09,1.1136039411310835e-08
TB_07+13_MidTop_AA,radial,0.287,0.28700000047683716,4.768371808516747e-10,1.661453591817682e-09
TB_07+13_MidTop_AR,axial,0.3105,0.31049999594688416,-4.053115842950206e-09,1.3053513181804205e-08
TB_07+13_MidTop_AR,planar_rotation,0.3559,0.35589998960494995,-1.0395050042966147e-08,2.9207783205861613e-08
TB_07+13_MidTop_AR,radial,0.2869,0.28690001368522644,1.3685226452064825e-08,4.770033618705063e-08
TB_07+13_MidTop_RA,axial,0.3173,0.3172999918460846,-8.153915431741154e-09,2.569781100454193e-08
TB_07+13_MidTop_RA,planar_rotation,0.3565,0.3564999997615814,-2.3841856267026174e-10,6.687757718660919e-10
TB_07+13_MidTop_RA,radial,0.2876,0.28760001063346863,1.0633468605636409e-08,3.6973117543937444e-08
TB_07+13_MidTop_RR,axial,0.3189,0.3188999891281128,-1.0871887223817822e-08,3.409183826847859e-08
TB_07+13_MidTop_RR,planar_rotation,0.3565,0.3564999997615814,-2.3841856267026174e-10,6.687757718660919e-10
TB_07+13_MidTop_RR,radial,0.287,0.28700000047683716,4.768371808516747e-10,1.661453591817682e-09
TB_07+13_Mid_AA,axial,0.3268,0.32679998874664307,-1.125335691298801e-08,3.4434996673769925e-08
TB_07+13_Mid_AA,planar_rotation,0.3621,0.3621000051498413,5.149841331153482e-09,1.4222152253944994e-08
TB_07+13_Mid_AA,radial,0.2953,0.2953000068664551,6.866455071197208e-09,2.3252472303410795e-08
TB_07+13_Mid_AR,axial,0.328,0.328000009059906,9.05990599209261e-09,2.7621664610038442e-08
TB_07+13_Mid_AR,planar_rotation,0.3621,0.3621000051498413,5.149841331153482e-09,1.4222152253944994e-08
TB_07+13_Mid_AR,radial,0.2968,0.29679998755455017,-1.2445449837361622e-08,4.193210861644751e-08
TB_07+13_Mid_RA,axial,0.3192,0.3192000091075897,9.107589737933353e-09,2.8532549304302486e-08
TB_07+13_Mid_RA,planar_rotation,0.374,0.37400001287460327,1.2874603272372553e-08,3.442407292078223e-08
TB_07+13_Mid_RA,radial,0.3009,0.30090001225471497,1.2254714965020952e-08,4.0726869275576445e-08
TB_07+13_Mid_RR,axial,0.3303,0.3303000032901764,3.2901764090986774e-09,9.961175928243044e-09
TB_07+13_Mid_RR,planar_rotation,0.3593,0.35929998755455017,-1.2445449837361622e-08,3.4638045748292854e-08
TB_07+13_Mid_RR,radial,0.2989,0.2989000082015991,8.201599122070746e-09,2.7439274413083794e-08
TB_07_A,axial,0.6099,nan,nan,nan
TB_07_A,planar_rotation,0.6965,nan,nan,nan
TB_07_A,radial,0.4682,nan,nan,nan
TB_07_R,axial,0.6095,0.609499990940094,-9.05990604760376e-09,1.4864489003451617e-08
TB_07_R,planar_rotation,0.6962,0.6962000131607056,1.3160705525372407e-08,1.890362758599886e-08
TB_07_R,radial,0.4677,0.4677000045776367,4.577636714131472e-09,9.787549100131436e-09
TB_07_Top_A,axial,0.5628,0.5627999901771545,-9.822845425944138e-09,1.7453527764648435e-08
TB_07_Top_A,planar_rotation,0.599,0.5989999771118164,-2.288818357065736e-08,3.821065704617256e-08
TB_07_Top_A,radial,0.4256,0.42559999227523804,-7.724761941219072e-09,1.8150286516022254e-08
TB_07_Top_R,axial,0.5294,0.5293999910354614,-8.964538555922275e-09,1.6933393569932517e-08
TB_07_Top_R,planar_rotation,0.5712,0.5712000131607056,1.3160705525372407e-08,2.3040450849741607e-08
TB_07_Top_R,radial,0.4224,0.42239999771118164,-2.288818357065736e-09,5.41860406502305e-09
TB_13+07_MidTop_AA,axial,0.3168,0.31679999828338623,-1.7166137955548777e-09,5.418604152635346e-09
TB_13+07_MidTop_AA,planar_rotation,0.3558,0.35580000281333923,2.8133392282470027e-09,7.907080461627326e-09
TB_13+07_MidTop_AA,radial,0.2879,0.28790000081062317,8.106231796922714e-10,2.8156414716647148e-09
TB_13+07_MidTop_AR,axial,0.3147,0.31470000743865967,7.438659688219218e-09,2.363730437947003e-08
TB_13+07_MidTop_AR,planar_rotation,0.3534,0.35339999198913574,-8.010864249730076e-09,2.2667980333135473e-08
TB_13+07_MidTop_AR,radial,0.2868,0.28679999709129333,-2.9087066644173376e-09,1.014193397635055e-08
TB_13+07_MidTop_RA,axial,0.3168,0.31679999828338623,-1.7166137955548777e-09,5.418604152635346e-09
TB_13+07_MidTop_RA,planar_rotation,0.3535,0.35350000858306885,8.583068866752086e-09,2.428025139109501e-08
TB_13+07_MidTop_RA,radial,0.2873,0.2872999906539917,-9.346008300603614e-09,3.253048486113336e-08
TB_13+07_MidTop_RR,axial,0.3133,0.3133000135421753,1.3542175270053747e-08,4.3224306639175696e-08
TB_13+07_MidTop_RR,planar_rotation,0.3526,0.35260000824928284,8.249282812400338e-09,2.3395583699377022e-08
TB_13+07_MidTop_RR,radial,0.2874,0.2874000072479248,7.247924815878548e-09,2.521894507960525e-08
TB_13+07_Mid_AA,axial,0.3263,0.3262999951839447,-4.816055276801734e-09,1.4759593247936667e-08
TB_13+07_Mid_AA,planar_rotation,0.3607,0.36070001125335693,1.125335691298801e-08,3.11986606958359e-08
TB_13+07_Mid_AA,radial,0.2993,0.2992999851703644,-1.4829635630597693e-08,4.954773013898327e-08
TB_13+07_Mid_AR,axial,0.3272,0.3271999955177307,-4.482269277961137e-09,1.3698866986433794e-08
TB_13+07_Mid_AR,planar_rotation,0.3736,0.3736000061035156,6.10351563734568e-09,1.6337033290539828e-08
TB_13+07_Mid_AR,radial,0.2963,0.2962999939918518,-6.008148201175345e-09,2.0277246713382873e-08
TB_13+07_Mid_RA,axial,0.3356,0.33559998869895935,-1.1301040658828754e-08,3.3674137839179835e-08
TB_13+07_Mid_RA,planar_rotation,0.3673,0.36730000376701355,3.767013534439201e-09,1.0255958438440513e-08
TB_13+07_Mid_RA,radial,0.2981,0.29809999465942383,-5.3405761479830005e-09,1.7915384595716206e-08
TB_13+07_Mid_RR,axial,0.3305,0.3305000066757202,6.6757201988565384e-09,2.0198850828612822e-08
TB_13+07_Mid_RR,planar_rotation,0.3714,0.37139999866485596,-1.335144050873538e-09,3.5948951289002097e-09
TB_13+07_Mid_RR,radial,0.2972,0.2971999943256378,-5.6743622023347484e-09,1.909273957716941e-08
TB_13_A,axial,0.4457,0.4456999897956848,-1.0204315170625478e-08,2.2895030672258194e-08
TB_13_A,planar_rotation,0.4848,0.4848000109195709,1.0919570914147414e-08,2.2523867397168757e-08
TB_13_A,radial,0.3691,0.36910000443458557,4.4345855876315454e-09,1.2014591134195464e-08
TB_13_R,axial,0.4496,0.4496000111103058,1.1110305786488084e-08,2.4711534222615846e-08
TB_13_R,planar_rotation,0.485,0.48500001430511475,1.4305114759416426e-08,2.9495081978178198e-08
TB_13_R,radial,0.3704,0.37040001153945923,1.1539459221499015e-08,3.11540475742414e-08
TB_13_Top_A,axial,0.4026,0.4025999903678894,-9.632110609114619e-09,2.3924765546732784e-08
TB_13_Top_A,planar_rotation,0.4517,0.45170000195503235,1.9550323582251394e-09,4.328165504151294e-09
TB_13_Top_A,radial,0.3517,0.3517000079154968,7.915496813559741e-09,2.2506388437758718e-08
TB_13_Top_R,axial,0.4072,0.40720000863075256,8.630752557081678e-09,2.119536482583909e-08
TB_13_Top_R,planar_rotation,0.454,0.45399999618530273,-3.814697280279944e-09,8.402416916916176e-09
TB_13_Top_R,radial,0.352,0.35199999809265137,-1.9073486123843963e-09,5.4186040124556715e-09
