exp_id,mode,fit_group,m,l,r,f_exp_compare6,f_exp_h5,freq_source_status,fit_status
CA_07+13_Mid_AA,axial,CA,556.6,2.338,0.008,0.3421,0.34209999442100525,both,used_in_fit
CA_07+13_Mid_AA,planar_rotation,CA,556.6,2.338,0.008,0.4118,0.41179999709129333,both,used_in_fit
CA_07+13_Mid_AA,radial,CA,556.6,2.338,0.008,0.3421,0.34209999442100525,both,used_in_fit
CA_07+13_Mid_AR,axial,CA,556.6,2.338,0.008,0.3425,0.3425000011920929,both,used_in_fit
CA_07+13_Mid_AR,planar_rotation,CA,556.6,2.338,0.008,0.4035,0.4034999907016754,both,used_in_fit
CA_07+13_Mid_AR,radial,CA,556.6,2.338,0.008,0.3425,0.3425000011920929,both,used_in_fit
CA_07+13_Mid_RA,axial,CA,556.6,2.338,0.008,0.3378,0.337799996137619,both,used_in_fit
CA_07+13_Mid_RA,planar_rotation,CA,556.6,2.338,0.008,0.4039,0.40389999747276306,both,used_in_fit
CA_07+13_Mid_RA,radial,CA,556.6,2.338,0.008,0.3378,0.337799996137619,both,used_in_fit
CA_07+13_Mid_RR,axial,CA,556.6,2.338,0.008,0.3412,0.34119999408721924,both,used_in_fit
CA_07+13_Mid_RR,planar_rotation,CA,556.6,2.338,0.008,0.3994,0.399399995803833,both,used_in_fit
CA_07+13_Mid_RR,radial,CA,556.6,2.338,0.008,0.3412,0.34119999408721924,both,used_in_fit
CA_07_A,axial,CA,488.2,0.739,0.008,0.6913,0.6912999749183655,both,used_in_fit
CA_07_A,planar_rotation,CA,488.2,0.739,0.008,0.7888,0.7888000011444092,both,used_in_fit
CA_07_A,radial,CA,488.2,0.739,0.008,0.6913,0.6912999749183655,both,used_in_fit
CA_07_R,axial,CA,488.2,0.739,0.008,0.6912,0.6912000179290771,both,used_in_fit
CA_07_R,planar_rotation,CA,488.2,0.739,0.008,0.801,0.8009999990463257,both,used_in_fit
CA_07_R,radial,CA,488.2,0.739,0.008,0.6912,0.6912000179290771,both,used_in_fit
CA_07_Top_A,axial,CA,556.6,0.999,0.008,0.5791,0.5791000127792358,both,used_in_fit
CA_07_Top_A,planar_rotation,CA,556.6,0.999,0.008,0.7112,0.7111999988555908,both,used_in_fit
CA_07_Top_A,radial,CA,556.6,0.999,0.008,0.5791,0.5791000127792358,both,used_in_fit
CA_07_Top_R,axial,CA,556.6,0.999,0.008,0.5633,0.5633000135421753,both,used_in_fit
CA_07_Top_R,planar_rotation,CA,556.6,0.999,0.008,0.6606,0.6606000065803528,both,used_in_fit
