exp_id,mode,fit_group,m,l,r,f_exp_compare6,f_exp_h5,f_exp_used,f_pend,f_fit,fit_used,err_abs_hz,err_rel,A_mode,B_mode
CA_07_A,radial,CA,488.2,0.739,0.008,0.6913,0.6912999749183655,0.6913,0.5798723704505615,0.7038635940744765,True,0.012563594074476492,0.018173866735825966,272.8202146046651,-0.4045272173644761
CA_07_R,radial,CA,488.2,0.739,0.008,0.6912,0.6912000179290771,0.6912,0.5798723704505615,0.7038635940744765,True,0.01266359407447648,0.01832117198274954,272.8202146046651,-0.4045272173644761
CA_13_A,radial,CA,488.2,1.339,0.008,0.4831,0.4830999970436096,0.4831,0.43078874365525127,0.47296993136446475,True,0.010130068635535228,0.020968885604502645,272.8202146046651,-0.4045272173644761
CA_13_R,radial,CA,488.2,1.339,0.008,0.473,0.4729999899864197,0.473,0.43078874365525127,0.47296993136446475,True,3.006863553522976e-05,6.35700539856866e-05,272.8202146046651,-0.4045272173644761
CA_07_Top_A,radial,CA,556.6,0.999,0.008,0.5791,0.5791000127792358,0.5791,0.49873734753340665,0.5708244460682429,True,0.008275553931757051,0.014290371147914094,272.8202146046651,-0.4045272173644761
CA_07_Top_R,radial,CA,556.6,0.999,0.008,0.5633,0.5633000135421753,0.5633,0.49873734753340665,0.5708244460682429,True,0.007524446068242874,0.013357795256955216,272.8202146046651,-0.4045272173644761
CA_13_Top_A,radial,CA,556.6,1.599,0.008,0.4346,0.43459999561309814,0.4346,0.3942125112065391,0.42459866219971015,True,0.010001337800289833,0.023012742292429438,272.8202146046651,-0.4045272173644761
CA_13_Top_R,radial,CA,556.6,1.599,0.008,0.4371,0.43709999322891235,0.4371,0.3942125112065391,0.42459866219971015,True,0.012501337800289836,0.028600635553168236,272.8202146046651,-0.4045272173644761
CA_07+13_Mid_AA,radial,CA,556.6,2.338,0.008,0.3421,0.34209999442100525,0.3421,0.32601109607798334,0.3409736616371026,True,0.0011263383628974388,0.0032924243288437265,272.8202146046651,-0.4045272173644761
CA_07+13_Mid_AR,radial,CA,556.6,2.338,0.008,0.3425,0.3425000011920929,0.3425,0.32601109607798334,0.3409736616371026,True,0.0015263383628974503,0.004456462373423212,272.8202146046651,-0.4045272173644761
CA_07+13_Mid_RA,radial,CA,556.6,2.338,0.008,0.3378,0.337799996137619,0.3378,0.32601109607798334,0.3409736616371026,True,0.003173661637102587,0.00939509069598161,272.8202146046651,-0.4045272173644761
CA_07+13_Mid_RR,radial,CA,556.6,2.338,0.008,0.3412,0.34119999408721924,0.3412,0.32601109607798334,0.3409736616371026,True,0.00022633836289742693,0.000663359797471943,272.8202146046651,-0.4045272173644761
CA_13+07_Mid_AA,radial,CA,556.6,2.338,0.008,0.3394,0.3393999934196472,0.3394,0.32601109607798334,0.3409736616371026,True,0.0015736616371025969,0.004636598812912778,272.8202146046651,-0.4045272173644761
