mode,exp_id,support_type,l_m,r_m,pi_l,pi_k_exp,pi_k_pred_TB,pi_k_pred_ALL,f_exp,f_pred_TB,f_pred_ALL,rel_error_TB,rel_error_ALL
radial,CA_07_A,CA,0.739,0.008,92.375,38.912304836697075,0.06206101994212316,8.073253633035149,0.6913,0.5800671278434703,0.604681087881382,-0.998405105526322,-0.7925269740017687
radial,CA_07_R,CA,0.739,0.008,92.375,38.87432485430034,0.06206101994212316,8.073253633035149,0.6912,0.5800671278434703,0.604681087881382,-0.99840354732398,-0.7923242740988189
radial,CA_13_A,CA,1.339,0.008,167.375,43.11718259527875,0.4785030752647393,6.781348905599454,0.4831,0.4314040883051299,0.4394289927407364,-0.9889022647941488,-0.84272281959485
radial,CA_13_R,CA,1.339,0.008,167.375,34.40781565799676,0.4785030752647393,6.781348905599454,0.473,0.4314040883051299,0.4394289927407364,-0.9860931865009708,-0.8029125425163862
radial,CA_07_Top_A,CA,0.999,0.008,124.875,43.484973478823235,0.17487166780435212,7.389902559852068,0.5791,0.4990864346994141,0.51328248961013,-0.9959785725087422,-0.8300584783971208
radial,CA_07_Top_R,CA,0.999,0.008,124.875,34.423329397419735,0.17487166780435212,7.389902559852068,0.5633,0.4990864346994141,0.51328248961013,-0.9949199664627019,-0.7853228409566335
radial,CA_13_Top_A,CA,1.599,0.008,199.875,43.052742202005504,0.8804867984188401,6.43732974436594,0.4346,0.39507984702296206,0.40051036208659074,-0.9795486476961779,-0.8504780551686654
radial,CA_13_Top_R,CA,1.599,0.008,199.875,45.85562362077376,0.8804867984188401,6.43732974436594,0.4371,0.39507984702296206,0.40051036208659074,-0.9807987171715191,-0.8596174419608228
radial,CA_07+13_Mid_AA,CA,2.338,0.008,292.25,29.557309476543328,3.248774713641116,5.758360897109242,0.3421,0.3278181267026782,0.32920721623008203,-0.8900855737150453,-0.8051798015756788
radial,CA_07+13_Mid_AR,CA,2.338,0.008,292.25,30.31029502667478,3.248774713641116,5.758360897109242,0.3425,0.3278181267026782,0.32920721623008203,-0.8928161302692036,-0.8100196355053108
radial,CA_07+13_Mid_RA,CA,2.338,0.008,292.25,21.51828681806486,3.248774713641116,5.758360897109242,0.3378,0.3278181267026782,0.32920721623008203,-0.8490226131332291,-0.7323968703551702
radial,CA_07+13_Mid_RR,CA,2.338,0.008,292.25,27.86630917065554,3.248774713641116,5.758360897109242,0.3412,0.3278181267026782,0.32920721623008203,-0.8834156797103859,-0.7933576039135799
radial,CA_13+07_Mid_AA,CA,2.338,0.008,292.25,24.49767223757406,3.248774713641116,5.758360897109242,0.3394,0.3278181267026782,0.32920721623008203,-0.8673843505564497,-0.7649425283649123
radial,CA_13+07_Mid_AR,CA,2.338,0.008,292.25,19.107902639750126,3.248774713641116,5.758360897109242,0.3365,0.3278181267026782,0.32920721623008203,-0.8299774300250674,-0.698639824282434
radial,CA_13+07_Mid_RA,CA,2.338,0.008,292.25,20.590116089000894,3.248774713641116,5.758360897109242,0.3373,0.3278181267026782,0.32920721623008203,-0.8422167850050836,-0.7203337333204585
radial,CA_13+07_Mid_RR,CA,2.338,0.008,292.25,20.775640245688614,3.248774713641116,5.758360897109242,0.3374,0.3278181267026782,0.32920721623008203,-0.8436257715660385,-0.7228311219768919
radial,TB_07_A,TB,1.168,0.008,146.0,4.435123401408159,0.2992092260191288,7.058699850600369,0.4682,0.46171903084447347,0.4722650382882898,-0.9325364372219881,0.5915453104099019
radial,TB_07_R,TB,1.168,0.008,146.0,4.113989704086419,0.2992092260191288,7.058699850600369,0.4677,0.46171903084447347,0.4722650382882898,-0.9272703026646069,0.7157796587553379
radial,TB_13_A,TB,1.768,0.008,221.0,-6.783285521405314,1.2435612409626007,6.250350667664497,0.3691,0.3759516211979455,0.38016282757779885,-1.1833272736402474,-1.921434111529127
radial,TB_13_R,TB,1.768,0.008,221.0,-5.271651024583258,1.2435612409626007,6.250350667664497,0.3704,0.3759516211979455,0.38016282757779885,-1.2358959717104772,-2.185653344373001
radial,TB_07_Top_A,TB,1.428,0.008,178.5,7.3062831356385,0.5969317876580995,6.654520340854571,0.4256,0.4178452737943821,0.42485289413641125,-0.9182988427116392,-0.08920579488697451
radial,TB_07_Top_R,TB,1.428,0.008,178.5,4.522707748056149,0.5969317876580995,6.654520340854571,0.4224,0.4178452737943821,0.42485289413641125,-0.8680145123428196,0.4713575830131122
radial,TB_13_Top_A,TB,2.028,0.008,253.5,2.40653726176765,1.9926407696703954,6.003755704033501,0.3517,0.35141546974787424,0.35416325624418066,-0.17198839954517856,1.49476947621564
radial,TB_13_Top_R,TB,2.028,0.008,253.5,2.843299868586162,1.9926407696703954,6.003755704033501,0.352,0.35141546974787424,0.35416325624418066,-0.2991802265790414,1.111545029198374
radial,TB_07+07_Mid_AA,TB,2.227,0.008,278.375,-0.06160438854794687,2.7487011902173744,5.8411232136716,0.334,0.33568206858055477,0.3375233069053238,-45.61859382108877,-95.81667380117631
radial,TB_07+07_Mid_AR,TB,2.227,0.008,278.375,-1.0606346167621146,2.7487011902173744,5.8411232136716,0.3334,0.33568206858055477,0.3375233069053238,-3.5915627745665684,-6.507196466492175
radial,TB_07+07_Mid_RA,TB,2.227,0.008,278.375,4.960490930088964,2.7487011902173744,5.8411232136716,0.337,0.33568206858055477,0.3375233069053238,-0.44588121842043615,0.17752925990469298
radial,TB_07+07_Mid_RR,TB,2.227,0.008,278.375,3.44914710342382,2.7487011902173744,5.8411232136716,0.3361,0.33568206858055477,0.3375233069053238,-0.20307800514253022,0.6934978528092838
radial,TB_07+13_Mid_AA,TB,2.827,0.008,353.375,-2.8013637728736684,6.239654077565681,5.446284796046029,0.2953,0.29908353881794375,0.29875344283058153,-3.2273630215346785,-2.9441547894578406
radial,TB_07+13_Mid_AR,TB,2.827,0.008,353.375,0.7692154989662242,6.239654077565681,5.446284796046029,0.2968,0.29908353881794375,0.29875344283058153,7.111711329206668,6.080310788544281
radial,TB_07+13_Mid_RA,TB,2.827,0.008,353.375,10.621103632944509,6.239654077565681,5.446284796046029,0.3009,0.29908353881794375,0.29875344283058153,-0.4125230020153895,-0.48722044485539534
radial,TB_07+13_Mid_RR,TB,2.827,0.008,353.375,5.798419520464449,6.239654077565681,5.446284796046029,0.2989,0.29908353881794375,0.29875344283058153,0.07609565943684753,-0.060729432076383136
radial,TB_13+07_Mid_AA,TB,2.827,0.008,353.375,6.760383387115204,6.239654077565681,5.446284796046029,0.2993,0.29908353881794375,0.29875344283058153,-0.07702659445942002,-0.19438225849346802
radial,TB_13+07_Mid_AR,TB,2.827,0.008,353.375,-0.4229877134012048,6.239654077565681,5.446284796046029,0.2963,0.29908353881794375,0.29875344283058153,-15.75138373971481,-13.875751761801688
radial,TB_13+07_Mid_RA,TB,2.827,0.008,353.375,3.878351220930766,6.239654077565681,5.446284796046029,0.2981,0.29908353881794375,0.29875344283058153,0.6088419336266883,0.4042783868189676
radial,TB_13+07_Mid_RR,TB,2.827,0.008,353.375,1.7244253565231962,6.239654077565681,5.446284796046029,0.2972,0.29908353881794375,0.29875344283058153,2.618396153804033,2.1583186685603395
radial,TB_07+07_MidTop_AA,TB,2.487,0.008,310.875,7.331635531333919,4.017198649806315,5.654927807705593,0.3198,0.3181301235895554,0.3189563353907033,-0.452073328981286,-0.22869490940492318
radial,TB_07+07_MidTop_AR,TB,2.487,0.008,310.875,8.327430997052566,4.017198649806315,5.654927807705593,0.3203,0.3181301235895554,0.3189563353907033,-0.5175944836735155,-0.3209276894990648
radial,TB_07+07_MidTop_RA,TB,2.487,0.008,310.875,10.323688990507145,4.017198649806315,5.654927807705593,0.3213,0.3181301235895554,0.3189563353907033,-0.6108756614520047,-0.4522376823918833
radial,TB_07+07_MidTop_RR,TB,2.487,0.008,310.875,10.923779824668076,4.017198649806315,5.654927807705593,0.3216,0.3181301235895554,0.3189563353907033,-0.632251957263485,-0.48232865377461775
radial,TB_07+13_MidTop_AA,TB,3.087,0.008,385.875,8.980139083245117,8.442463367031626,5.3074997089726565,0.287,0.28680452894847447,0.2856621549952185,-0.05987387402681437,-0.4089735515483011
radial,TB_07+13_MidTop_AR,TB,3.087,0.008,385.875,8.705026644925079,8.442463367031626,5.3074997089726565,0.2869,0.28680452894847447,0.2856621549952185,-0.03016226010594964,-0.39029483475885024
radial,TB_07+13_MidTop_RA,TB,3.087,0.008,385.875,10.632827081768244,8.442463367031626,5.3074997089726565,0.2876,0.28680452894847447,0.2856621549952185,-0.20600012563849193,-0.500838331315173
