mode,support_type,exp_id,f_exp,f_pred,rel_error,pi_l
radial,TB,TB_07_A,0.4682,0.4722650382882898,0.008682268877167453,146.0
radial,TB,TB_07_R,0.4677,0.4722650382882898,0.009760612119499256,146.0
radial,TB,TB_13_A,0.3691,0.38016282757779885,0.029972439929013443,221.0
radial,TB,TB_13_R,0.3704,0.38016282757779885,0.026357525857988225,221.0
radial,TB,TB_07_Top_A,0.4256,0.42485289413641125,-0.001755417912567496,178.5
radial,TB,TB_07_Top_R,0.4224,0.42485289413641125,0.00580704104264028,178.5
radial,TB,TB_13_Top_A,0.3517,0.35416325624418066,0.0070038562530015495,253.5
radial,TB,TB_13_Top_R,0.352,0.35416325624418066,0.006145614330058745,253.5
radial,TB,TB_07+07_Mid_AA,0.334,0.3375233069053238,0.010548823069831629,278.375
radial,TB,TB_07+07_Mid_AR,0.3334,0.3375233069053238,0.012367447226526123,278.375
radial,TB,TB_07+07_Mid_RA,0.337,0.3375233069053238,0.0015528394816728829,278.375
radial,TB,TB_07+07_Mid_RR,0.3361,0.3375233069053238,0.004234772107479243,278.375
radial,TB,TB_07+13_Mid_AA,0.2953,0.29875344283058153,0.011694692958284866,353.375
radial,TB,TB_07+13_Mid_AR,0.2968,0.29875344283058153,0.0065816806960293794,353.375
radial,TB,TB_07+13_Mid_RA,0.3009,0.29875344283058153,-0.007133789197136832,353.375
radial,TB,TB_07+13_Mid_RR,0.2989,0.29875344283058153,-0.0004903217444579152,353.375
radial,TB,TB_13+07_Mid_AA,0.2993,0.29875344283058153,-0.0018261181738004754,353.375
radial,TB,TB_13+07_Mid_AR,0.2963,0.29875344283058153,0.008280266049887007,353.375
radial,TB,TB_13+07_Mid_RA,0.2981,0.29875344283058153,0.002192025597388635,353.375
radial,TB,TB_13+07_Mid_RR,0.2972,0.29875344283058153,0.005226927424567659,353.375
radial,TB,TB_07+07_MidTop_AA,0.3198,0.3189563353907033,-0.002638100717000283,310.875
radial,TB,TB_07+07_MidTop_AR,0.3203,0.3189563353907033,-0.004195019073670593,310.875
radial,TB,TB_07+07_MidTop_RA,0.3213,0.3189563353907033,-0.007294318734194497,310.875
radial,TB,TB_07+07_MidTop_RR,0.3216,0.3189563353907033,-0.008220350153285804,310.875
radial,TB,TB_07+13_MidTop_AA,0.287,0.2856621549952185,-0.004661480852897064,385.875
radial,TB,TB_07+13_MidTop_AR,0.2869,0.2856621549952185,-0.004314552125414668,385.875
radial,TB,TB_07+13_MidTop_RA,0.2876,0.2856621549952185,-0.006737986803829979,385.875
radial,TB,TB_07+13_MidTop_RR,0.287,0.2856621549952185,-0.004661480852897064,385.875
radial,TB,TB_13+07_MidTop_AA,0.2879,0.2856621549952185,-0.0077729941117800246,385.875
radial,TB,TB_13+07_MidTop_AR,0.2868,0.2856621549952185,-0.003967381467159969,385.875
radial,TB,TB_13+07_MidTop_RA,0.2873,0.2856621549952185,-0.005700817976963034,385.875
