exp_id,support_type,component_id,direction,original_filename,current_filename,sample_rate_hz,duration_s,channel_count
CA_07+13_Mid_AA,CA,CA_07+13_Mid,AA,CA_07+13_Mid_AA.XLS,CA_07+13_Mid_AA.XLS,10.204081632657607,999.902,20
CA_07+13_Mid_AR,CA,CA_07+13_Mid,AR,CA_07+13_Mid_AR.XLS,CA_07+13_Mid_AR.XLS,10.204081632657607,999.902,20
CA_07+13_Mid_RA,CA,CA_07+13_Mid,RA,CA_07+13_Mid_RA.XLS,CA_07+13_Mid_RA.XLS,10.204081632657607,999.902,20
CA_07+13_Mid_RR,CA,CA_07+13_Mid,RR,CA_07+13_Mid_RR.XLS,CA_07+13_Mid_RR.XLS,10.204081632657607,999.902,20
CA_07_A,CA,CA_07,A,CA_07_A.XLS,CA_07_A.XLS,10.204081632657607,999.902,20
CA_07_R,CA,CA_07,R,CA_07_R.XLS,CA_07_R.XLS,10.204081632657607,999.902,20
CA_07_Top_A,CA,CA_07_Top,A,CA_07_A_Top.XLS,CA_07_A_Top.XLS,10.204081632657607,999.902,20
CA_07_Top_R,CA,CA_07_Top,R,CA_07_R_Top.XLS,CA_07_R_Top.XLS,10.204081632657607,999.902,20
CA_13+07_Mid_AA,CA,CA_13+07_Mid,AA,CA_13+07_Mid_AA.XLS,CA_13+07_Mid_AA.XLS,10.204081632657607,999.902,20
CA_13+07_Mid_AR,CA,CA_13+07_Mid,AR,CA_13+07_Mid_AR.XLS,CA_13+07_Mid_AR.XLS,10.204081632657607,999.902,20
CA_13+07_Mid_RA,CA,CA_13+07_Mid,RA,CA_13+07_Mid_RA.XLS,CA_13+07_Mid_RA.XLS,10.204081632657607,999.902,20
CA_13+07_Mid_RR,CA,CA_13+07_Mid,RR,CA_13+07_Mid_RR.XLS,CA_13+07_Mid_RR.XLS,10.204081632657607,999.902,20
CA_13_A,CA,CA_13,A,CA_13_A.XLS,CA_13_A.XLS,10.204081632657607,999.902,20
CA_13_R,CA,CA_13,R,CA_13_R.XLS,CA_13_R.XLS,10.204081632657607,999.902,20
CA_13_Top_A,CA,CA_13_Top,A,CA_13_A_Top.XLS,CA_13_A_Top.XLS,10.204081632657607,999.902,20
CA_13_Top_R,CA,CA_13_Top,R,CA_13_R_Top.XLS,CA_13_R_Top.XLS,10.204081632657607,999.902,20
CSBD_07_A,CSBD,CSBD_07,A,TR_07_A.XLS,CSBD_07_A.XLS,20.408163265315213,999.951,20
CSBD_07_R,CSBD,CSBD_07,R,TR_07_R.XLS,CSBD_07_R.XLS,20.408163265315213,999.951,20
CSBD_13_A,CSBD,CSBD_13,A,TR_13_A.XLS,CSBD_13_A.XLS,10.204081632657607,999.902,20
CSBD_13_R,CSBD,CSBD_13,R,TR_13_R.XLS,CSBD_13_R.XLS,10.204081632657607,999.902,20
CSB_07_A,CSB,CSB_07,A,CS_07_A.XLS,CSB_07_A.XLS,10.204081632657607,999.902,20
CSB_07_R,CSB,CSB_07,R,CS_07_R.XLS,CSB_07_R.XLS,10.204081632657607,999.902,20
CSB_13_A,CSB,CSB_13,A,CS_13_A.XLS,CSB_13_A.XLS,10.204081632657607,999.902,20
CSB_13_R,CSB,CSB_13,R,CS_13_R.XLS,CSB_13_R.XLS,10.204081632657607,999.902,20
TB_07+07_MidTop_AA,TB,TB_07+07_MidTop,AA,TB_07+07_MidTop_AA.XLS,TB_07+07_MidTop_AA.XLS,10.204081632657607,999.902,20
TB_07+07_MidTop_AR,TB,TB_07+07_MidTop,AR,TB_07+07_MidTop_AR.XLS,TB_07+07_MidTop_AR.XLS,10.204081632657607,999.902,20
TB_07+07_MidTop_RA,TB,TB_07+07_MidTop,RA,TB_07+07_MidTop_RA.XLS,TB_07+07_MidTop_RA.XLS,10.204081632657607,599.902,20
TB_07+07_MidTop_RR,TB,TB_07+07_MidTop,RR,TB_07+07_MidTop_RR.XLS,TB_07+07_MidTop_RR.XLS,10.204081632657607,599.902,20
TB_07+07_Mid_AA,TB,TB_07+07_Mid,AA,TB_07+07_Mid_AA.XLS,TB_07+07_Mid_AA.XLS,10.204081632657607,599.902,20
TB_07+07_Mid_AR,TB,TB_07+07_Mid,AR,TB_07+07_Mid_AR.XLS,TB_07+07_Mid_AR.XLS,10.204081632657607,599.902,20
TB_07+07_Mid_RA,TB,TB_07+07_Mid,RA,TB_07+07_Mid_RA.XLS,TB_07+07_Mid_RA.XLS,10.204081632657607,599.902,20
TB_07+07_Mid_RR,TB,TB_07+07_Mid,RR,TB_07+07_Mid_RR.XLS,TB_07+07_Mid_RR.XLS,10.204081632657607,599.902,20
TB_07+13_MidTop_AA,TB,TB_07+13_MidTop,AA,TB_07+13_MidTop_AA.XLS,TB_07+13_MidTop_AA.XLS,10.204081632657607,999.902,20
TB_07+13_MidTop_AR,TB,TB_07+13_MidTop,AR,TB_07+13_MidTop_AR.XLS,TB_07+13_MidTop_AR.XLS,10.204081632657607,999.902,20
TB_07+13_MidTop_RA,TB,TB_07+13_MidTop,RA,TB_07+13_MidTop_RA.XLS,TB_07+13_MidTop_RA.XLS,10.204081632657607,599.902,20
TB_07+13_MidTop_RR,TB,TB_07+13_MidTop,RR,TB_07+13_MidTop_RR.XLS,TB_07+13_MidTop_RR.XLS,10.204081632657607,599.902,20
TB_07+13_Mid_AA,TB,TB_07+13_Mid,AA,TB_07+13_Mid_AA.XLS,TB_07+13_Mid_AA.XLS,10.204081632657607,599.902,20
TB_07+13_Mid_AR,TB,TB_07+13_Mid,AR,TB_07+13_Mid_AR.XLS,TB_07+13_Mid_AR.XLS,10.204081632657607,599.902,20
TB_07+13_Mid_RA,TB,TB_07+13_Mid,RA,TB_07+13_Mid_RA.XLS,TB_07+13_Mid_RA.XLS,10.204081632657607,599.902,20
TB_07+13_Mid_RR,TB,TB_07+13_Mid,RR,TB_07+13_Mid_RR.XLS,TB_07+13_Mid_RR.XLS,10.204081632657607,599.902,20
TB_07_R,TB,TB_07,R,TB_07_R.XLS,TB_07_R.XLS,10.204081632657607,599.902,20
TB_07_Top_A,TB,TB_07_Top,A,TB_07_Top_A.XLS,TB_07_Top_A.XLS,10.204081632657607,999.902,20
TB_07_Top_R,TB,TB_07_Top,R,TB_07_Top_R.XLS,TB_07_Top_R.XLS,10.204081632657607,599.902,20
TB_13+07_MidTop_AA,TB,TB_13+07_MidTop,AA,TB_13+07_MidTop_AA.XLS,TB_13+07_MidTop_AA.XLS,10.204081632657607,999.902,20
TB_13+07_MidTop_AR,TB,TB_13+07_MidTop,AR,TB_13+07_MidTop_AR.XLS,TB_13+07_MidTop_AR.XLS,10.204081632657607,999.902,20
TB_13+07_MidTop_RA,TB,TB_13+07_MidTop,RA,TB_13+07_MidTop_RA.XLS,TB_13+07_MidTop_RA.XLS,10.204081632657607,599.902,20
TB_13+07_MidTop_RR,TB,TB_13+07_MidTop,RR,TB_13+07_MidTop_RR.XLS,TB_13+07_MidTop_RR.XLS,10.204081632657607,599.902,20
TB_13+07_Mid_AA,TB,TB_13+07_Mid,AA,TB_13+07_Mid_AA.XLS,TB_13+07_Mid_AA.XLS,10.204081632657607,599.902,20
TB_13+07_Mid_AR,TB,TB_13+07_Mid,AR,TB_13+07_Mid_AR.XLS,TB_13+07_Mid_AR.XLS,10.204081632657607,599.902,20
TB_13+07_Mid_RA,TB,TB_13+07_Mid,RA,TB_13+07_Mid_RA.XLS,TB_13+07_Mid_RA.XLS,10.204081632657607,599.902,20
TB_13+07_Mid_RR,TB,TB_13+07_Mid,RR,TB_13+07_Mid_RR.XLS,TB_13+07_Mid_RR.XLS,10.204081632657607,599.902,20
TB_13_A,TB,TB_13,A,TB_13_A.XLS,TB_13_A.XLS,10.204081632657607,999.902,20
TB_13_R,TB,TB_13,R,TB_13_R.XLS,TB_13_R.XLS,10.204081632657607,599.902,20
TB_13_Top_A,TB,TB_13_Top,A,TB_13_Top_A.XLS,TB_13_Top_A.XLS,10.204081632657607,999.902,20
TB_13_Top_R,TB,TB_13_Top,R,TB_13_Top_R.XLS,TB_13_Top_R.XLS,10.204081632657607,599.902,20
