hanger_id,case,model,hanger_type,global_dof,physical_test_direction,l_m,r_m,l_over_r,test_domain_min,test_domain_max,domain_status,pipe_axis_global,coordinate_evidence
OLBA10BQ007,case_E,PE/source,摆_z_CA,Ux,CA shared translation,2.12,0.043,49.30232558139536,92.375,292.25,out_of_domain,z,"nearest line_pipe_1-1 element 1463; tangent=[0.0, 0.0, 1.0]"
OLBA10BQ007,case_E,PE/source,摆_z_CA,Uy,CA shared translation,1.6150000000000002,0.043,37.55813953488373,92.375,292.25,out_of_domain,z,"nearest line_pipe_1-1 element 1463; tangent=[0.0, 0.0, 1.0]"
OLBA10BQ008,case_E,PE/source,摆_z_TB+CSBD+CSB,Ux,SR shared axial calibration,3.3150000000000004,0.043,77.09302325581397,45.0,337.125,in_domain,x,"nearest line_pipe_1-1 element 1373; tangent=[0.99994971, 0.0, 0.010028825]"
OLBA10BQ008,case_E,PE/source,摆_z_TB+CSBD+CSB,Uy,SR shared axial calibration,2.7450000000000006,0.043,63.8372093023256,45.0,337.125,in_domain,x,"nearest line_pipe_1-1 element 1373; tangent=[0.99994971, 0.0, 0.010028825]"
OLBA10BQ009,case_E,PE/source,摆_z_CA,Ux,CA shared translation,6.782,0.043,157.72093023255815,92.375,292.25,in_domain,z,"nearest line_pipe_1-1 element 1267; tangent=[0.0, 0.0, 1.0]"
OLBA10BQ009,case_E,PE/source,摆_z_CA,Uy,CA shared translation,6.316,0.043,146.88372093023256,92.375,292.25,in_domain,z,"nearest line_pipe_1-1 element 1267; tangent=[0.0, 0.0, 1.0]"
OLBA10BQ011,case_E,PE/source,摆_z_CA,Ux,CA shared translation,2.2600000000000002,0.066,34.24242424242424,92.375,292.25,out_of_domain,z,"nearest line_pipe_1-1 element 1160; tangent=[0.0, 0.0, 1.0]"
OLBA10BQ011,case_E,PE/source,摆_z_CA,Uy,CA shared translation,2.83,0.066,42.878787878787875,92.375,292.25,out_of_domain,z,"nearest line_pipe_1-1 element 1160; tangent=[0.0, 0.0, 1.0]"
OLBA10BQ012,case_E,PE/source,摆_x_TB+CSBD+CSB,Uy,SR shared axial calibration,2.075,0.025,83.0,45.0,337.125,in_domain,z,"nearest line_pipe_1-1 element 1153; tangent=[0.0, 0.0, 1.0]"
OLBA10BQ012,case_E,PE/source,摆_x_TB+CSBD+CSB,Uz,SR shared axial calibration,2.075,0.025,83.0,45.0,337.125,in_domain,z,"nearest line_pipe_1-1 element 1153; tangent=[0.0, 0.0, 1.0]"
OLBA10BQ013,case_E,PE/source,摆_z_TB+CSBD+CSB,Ux,SR shared axial calibration,2.0589999999999997,0.043,47.883720930232556,45.0,337.125,in_domain,y,"nearest line_pipe_1-1 element 1094; tangent=[0.0, 0.999800359, 0.019981042]"
OLBA10BQ013,case_E,PE/source,摆_z_TB+CSBD+CSB,Uy,SR shared axial calibration,2.0589999999999997,0.043,47.883720930232556,45.0,337.125,in_domain,y,"nearest line_pipe_1-1 element 1094; tangent=[0.0, 0.999800359, 0.019981042]"
OLBA10BQ014,case_E,PE/source,摆_y_TB+CSBD+CSB,Ux,SR shared axial calibration,2.0,0.03,66.66666666666667,45.0,337.125,in_domain,y,"nearest line_pipe_1-1 element 1024; tangent=[0.0, 0.999799998, 0.019999114]"
OLBA10BQ014,case_E,PE/source,摆_y_TB+CSBD+CSB,Uz,SR shared axial calibration,2.0,0.03,66.66666666666667,45.0,337.125,in_domain,y,"nearest line_pipe_1-1 element 1024; tangent=[0.0, 0.999799998, 0.019999114]"
OLBA10BQ015,case_E,PE/source,摆_z_TB+CSBD+CSB,Ux,SR shared axial calibration,1.2850000000000001,0.039,32.94871794871795,45.0,337.125,out_of_domain,y,"nearest line_pipe_1-1 element 1004; tangent=[0.0, 0.999800359, 0.019981042]"
OLBA10BQ015,case_E,PE/source,摆_z_TB+CSBD+CSB,Uy,SR shared axial calibration,0.8600000000000001,0.039,22.051282051282055,45.0,337.125,out_of_domain,y,"nearest line_pipe_1-1 element 1004; tangent=[0.0, 0.999800359, 0.019981042]"
OLBA10BQ016,case_E,PE/source,摆_z_TB+CSBD+CSB,Ux,SR shared axial calibration,1.787,0.03,59.56666666666666,45.0,337.125,in_domain,x,"nearest line_pipe_1-1 element 951; tangent=[0.999799902, 0.0, 0.020003916]"
OLBA10BQ016,case_E,PE/source,摆_z_TB+CSBD+CSB,Uy,SR shared axial calibration,1.787,0.03,59.56666666666666,45.0,337.125,in_domain,x,"nearest line_pipe_1-1 element 951; tangent=[0.999799902, 0.0, 0.020003916]"
OLBA10BQ017,case_E,PE/source,摆_z_TB+CSBD+CSB,Ux,SR shared axial calibration,1.7879999999999998,0.039,45.84615384615384,45.0,337.125,in_domain,x,"nearest line_pipe_1-1 element 877; tangent=[0.999800281, 0.0, 0.019984928]"
OLBA10BQ017,case_E,PE/source,摆_z_TB+CSBD+CSB,Uy,SR shared axial calibration,1.5339999999999998,0.039,39.33333333333333,45.0,337.125,out_of_domain,x,"nearest line_pipe_1-1 element 877; tangent=[0.999800281, 0.0, 0.019984928]"
OLBA10BQ018,case_E,PE/source,摆_z_TB+CSBD+CSB,Ux,SR shared axial calibration,1.5985,0.036,44.40277777777778,45.0,337.125,out_of_domain,y,"nearest line_pipe_1-1 element 828; tangent=[0.0, 0.999949862, 0.010013648]"
OLBA10BQ018,case_E,PE/source,摆_z_TB+CSBD+CSB,Uy,SR shared axial calibration,1.802,0.036,50.05555555555556,45.0,337.125,in_domain,y,"nearest line_pipe_1-1 element 828; tangent=[0.0, 0.999949862, 0.010013648]"
OLBA10BQ019,case_E,PE/source,摆_x_TB+CSBD+CSB,Uy,SR shared axial calibration,1.705,0.03,56.833333333333336,45.0,337.125,in_domain,y,"nearest line_pipe_1-1 element 823; tangent=[0.0, 0.999950062, 0.009993651]"
OLBA10BQ019,case_E,PE/source,摆_x_TB+CSBD+CSB,Uz,SR shared axial calibration,1.705,0.03,56.833333333333336,45.0,337.125,in_domain,y,"nearest line_pipe_1-1 element 823; tangent=[0.0, 0.999950062, 0.009993651]"
OLBA10BQ020,case_E,PE/source,摆_y_CA,Ux,CA shared translation,4.6945,0.043,109.17441860465117,92.375,292.25,in_domain,z,"nearest line_pipe_1-1 element 787; tangent=[0.0, 0.0, 1.0]"
OLBA10BQ020,case_E,PE/source,摆_y_CA,Uz,CA shared translation,4.898,0.043,113.90697674418605,92.375,292.25,in_domain,z,"nearest line_pipe_1-1 element 787; tangent=[0.0, 0.0, 1.0]"
OLBA10BQ022,case_E,PE/source,摆_x_TB+CSBD+CSB,Uy,SR shared axial calibration,1.224,0.0125,97.91999999999999,45.0,337.125,in_domain,y,"nearest line_pipe_1-1 element 481; tangent=[0.0, 0.999950004, 0.00999946]"
OLBA10BQ022,case_E,PE/source,摆_x_TB+CSBD+CSB,Uz,SR shared axial calibration,1.224,0.0125,97.91999999999999,45.0,337.125,in_domain,y,"nearest line_pipe_1-1 element 481; tangent=[0.0, 0.999950004, 0.00999946]"
OLBA10BQ023,case_E,PE/source,摆_z_TB+CSBD+CSB,Ux,SR shared axial calibration,1.97,0.04,49.25,45.0,337.125,in_domain,y,"nearest line_pipe_1-1 element 466; tangent=[0.0, 0.999950003, 0.00999955]"
OLBA10BQ023,case_E,PE/source,摆_z_TB+CSBD+CSB,Uy,SR shared axial calibration,1.97,0.04,49.25,45.0,337.125,in_domain,y,"nearest line_pipe_1-1 element 466; tangent=[0.0, 0.999950003, 0.00999955]"
OLBA10BQ024,case_E,PE/source,摆_z_CA,Ux,CA shared translation,3.994,0.028,142.64285714285714,92.375,292.25,in_domain,y,"nearest line_pipe_1-1 element 396; tangent=[0.0, 0.999950001, 0.00999975]"
OLBA10BQ024,case_E,PE/source,摆_z_CA,Uy,CA shared translation,3.994,0.028,142.64285714285714,92.375,292.25,in_domain,y,"nearest line_pipe_1-1 element 396; tangent=[0.0, 0.999950001, 0.00999975]"
OLBA10BQ025,case_E,PE/source,摆_x_TB+CSBD+CSB,Uy,SR shared axial calibration,1.0870000000000002,0.02,54.35000000000001,45.0,337.125,in_domain,y,"nearest line_pipe_1-1 element 366; tangent=[0.0, 0.999950003, 0.00999955]"
OLBA10BQ025,case_E,PE/source,摆_x_TB+CSBD+CSB,Uz,SR shared axial calibration,1.0870000000000002,0.02,54.35000000000001,45.0,337.125,in_domain,y,"nearest line_pipe_1-1 element 366; tangent=[0.0, 0.999950003, 0.00999955]"
OLBA10BQ026,case_E,PE/source,摆_z_TB+CSBD+CSB,Ux,SR shared axial calibration,1.905,0.039,48.84615384615385,45.0,337.125,in_domain,y,"nearest line_pipe_1-1 element 339; tangent=[0.0, 0.999950003, 0.00999956]"
OLBA10BQ026,case_E,PE/source,摆_z_TB+CSBD+CSB,Uy,SR shared axial calibration,1.905,0.039,48.84615384615385,45.0,337.125,in_domain,y,"nearest line_pipe_1-1 element 339; tangent=[0.0, 0.999950003, 0.00999956]"
OLBA21BQ001,case_E,PE/source,摆_z_CA,Ux,CA shared translation,4.237,0.018,235.3888888888889,92.375,292.25,in_domain,x,"nearest line_pipe_1-1 element 582; tangent=[0.999949989, 0.0, 0.010000995]"
OLBA21BQ001,case_E,PE/source,摆_z_CA,Uy,CA shared translation,4.237,0.018,235.3888888888889,92.375,292.25,in_domain,x,"nearest line_pipe_1-1 element 582; tangent=[0.999949989, 0.0, 0.010000995]"
OLBA21BQ002,case_E,PE/source,摆_z_CA,Ux,CA shared translation,1.231,0.035,35.17142857142857,92.375,292.25,out_of_domain,z,"nearest line_pipe_1-1 element 610; tangent=[0.0, 0.0, 1.0]"
OLBA21BQ002,case_E,PE/source,摆_z_CA,Uy,CA shared translation,1.231,0.035,35.17142857142857,92.375,292.25,out_of_domain,z,"nearest line_pipe_1-1 element 610; tangent=[0.0, 0.0, 1.0]"
OLBA31BQ023,case_E,PE/source,摆_z_TB+CSBD+CSB,Ux,SR shared axial calibration,1.4089999999999998,0.012,117.41666666666664,45.0,337.125,in_domain,x,"nearest line_pipe_1-1 element 2657; tangent=[0.999949988, 0.0, 0.010001048]"
OLBA31BQ023,case_E,PE/source,摆_z_TB+CSBD+CSB,Uy,SR shared axial calibration,1.4089999999999998,0.012,117.41666666666664,45.0,337.125,in_domain,x,"nearest line_pipe_1-1 element 2657; tangent=[0.999949988, 0.0, 0.010001048]"
OLBA31BQ022,case_E,PE/source,摆_z_TB+CSBD+CSB,Ux,SR shared axial calibration,0.9080000000000001,0.012,75.66666666666667,45.0,337.125,in_domain,y,"nearest line_pipe_1-1 element 2706; tangent=[0.0, 0.999949991, 0.010000813]"
OLBA31BQ022,case_E,PE/source,摆_z_TB+CSBD+CSB,Uy,SR shared axial calibration,0.9080000000000001,0.012,75.66666666666667,45.0,337.125,in_domain,y,"nearest line_pipe_1-1 element 2706; tangent=[0.0, 0.999949991, 0.010000813]"
OLBA31BQ021,case_E,PE/source,摆_z_CA,Ux,CA shared translation,1.5190000000000001,0.012,126.58333333333334,92.375,292.25,in_domain,x,"nearest line_pipe_1-1 element 2757; tangent=[0.999950044, 0.0, 0.009995475]"
OLBA31BQ021,case_E,PE/source,摆_z_CA,Uy,CA shared translation,1.4235000000000002,0.012,118.62500000000001,92.375,292.25,in_domain,x,"nearest line_pipe_1-1 element 2757; tangent=[0.999950044, 0.0, 0.009995475]"
OLBA31BQ003,case_E,PE/source,摆_z_CA,Ux,CA shared translation,1.5190000000000001,0.0175,86.8,92.375,292.25,out_of_domain,z,"nearest line_pipe_1-1 element 21; tangent=[0.0, 0.0, 1.0]"
OLBA31BQ003,case_E,PE/source,摆_z_CA,Uy,CA shared translation,1.5190000000000001,0.0175,86.8,92.375,292.25,out_of_domain,z,"nearest line_pipe_1-1 element 21; tangent=[0.0, 0.0, 1.0]"
OLBA31BQ001,case_E,PE/source,摆_z_CA,Ux,CA shared translation,1.668,0.0175,95.3142857142857,92.375,292.25,in_domain,z,"nearest line_pipe_1-1 element 683; tangent=[0.0, 0.0, 1.0]"
OLBA31BQ001,case_E,PE/source,摆_z_CA,Uy,CA shared translation,1.668,0.0175,95.3142857142857,92.375,292.25,in_domain,z,"nearest line_pipe_1-1 element 683; tangent=[0.0, 0.0, 1.0]"
OLBA22BQ001,case_E,PE/source,摆_z_TB+CSBD+CSB,Ux,SR shared axial calibration,2.138,0.031,68.96774193548387,45.0,337.125,in_domain,y,"nearest line_pipe_1-1 element 281; tangent=[0.0, 0.999950046, 0.009995302]"
OLBA22BQ001,case_E,PE/source,摆_z_TB+CSBD+CSB,Uy,SR shared axial calibration,2.138,0.031,68.96774193548387,45.0,337.125,in_domain,y,"nearest line_pipe_1-1 element 281; tangent=[0.0, 0.999950046, 0.009995302]"
OLBA22BQ002,case_E,PE/source,摆_z_TB+CSBD+CSB,Ux,SR shared axial calibration,2.6310000000000002,0.0175,150.34285714285713,45.0,337.125,in_domain,y,"nearest line_pipe_1-1 element 246; tangent=[0.0, 0.99994995, 0.010004865]"
