exp_id,support_type,mode_row_count,modes_present,auxiliary_rule_supported_rows,manual_critical_rows,completed_condition_index
CA_07+13_Mid_AA,CA,3,"axial,planar_rotation,radial",2,1,True
CA_07+13_Mid_AR,CA,3,"axial,planar_rotation,radial",2,1,True
CA_07+13_Mid_RA,CA,3,"axial,planar_rotation,radial",2,1,True
CA_07+13_Mid_RR,CA,3,"axial,planar_rotation,radial",3,0,True
CA_07_A,CA,3,"axial,planar_rotation,radial",2,1,True
CA_07_R,CA,3,"axial,planar_rotation,radial",3,0,True
CA_07_Top_A,CA,3,"axial,planar_rotation,radial",2,1,True
CA_07_Top_R,CA,3,"axial,planar_rotation,radial",2,1,True
CA_13+07_Mid_AA,CA,3,"axial,planar_rotation,radial",2,1,True
CA_13+07_Mid_AR,CA,3,"axial,planar_rotation,radial",2,1,True
CA_13+07_Mid_RA,CA,3,"axial,planar_rotation,radial",3,0,True
CA_13+07_Mid_RR,CA,3,"axial,planar_rotation,radial",3,0,True
CA_13_A,CA,3,"axial,planar_rotation,radial",3,0,True
CA_13_R,CA,3,"axial,planar_rotation,radial",2,1,True
CA_13_Top_A,CA,3,"axial,planar_rotation,radial",2,1,True
CA_13_Top_R,CA,3,"axial,planar_rotation,radial",2,1,True
CSBD_07_A,CSBD,3,"axial,planar_rotation,radial",0,3,True
CSBD_07_R,CSBD,3,"axial,planar_rotation,radial",1,2,True
CSBD_13_A,CSBD,3,"axial,planar_rotation,radial",0,3,True
CSBD_13_R,CSBD,3,"axial,planar_rotation,radial",0,3,True
CSB_07_A,CSB,3,"axial,planar_rotation,radial",2,1,True
CSB_07_R,CSB,3,"axial,planar_rotation,radial",3,0,True
CSB_13_A,CSB,3,"axial,planar_rotation,radial",2,1,True
CSB_13_R,CSB,3,"axial,planar_rotation,radial",3,0,True
TB_07+07_MidTop_AA,TB,3,"axial,planar_rotation,radial",3,0,True
TB_07+07_MidTop_AR,TB,3,"axial,planar_rotation,radial",3,0,True
TB_07+07_MidTop_RA,TB,3,"axial,planar_rotation,radial",3,0,True
TB_07+07_MidTop_RR,TB,3,"axial,planar_rotation,radial",3,0,True
TB_07+07_Mid_AA,TB,3,"axial,planar_rotation,radial",3,0,True
TB_07+07_Mid_AR,TB,3,"axial,planar_rotation,radial",3,0,True
TB_07+07_Mid_RA,TB,3,"axial,planar_rotation,radial",3,0,True
TB_07+07_Mid_RR,TB,3,"axial,planar_rotation,radial",3,0,True
TB_07+13_MidTop_AA,TB,3,"axial,planar_rotation,radial",3,0,True
TB_07+13_MidTop_AR,TB,3,"axial,planar_rotation,radial",3,0,True
TB_07+13_MidTop_RA,TB,3,"axial,planar_rotation,radial",3,0,True
TB_07+13_MidTop_RR,TB,3,"axial,planar_rotation,radial",3,0,True
TB_07+13_Mid_AA,TB,3,"axial,planar_rotation,radial",3,0,True
TB_07+13_Mid_AR,TB,3,"axial,planar_rotation,radial",3,0,True
TB_07+13_Mid_RA,TB,3,"axial,planar_rotation,radial",3,0,True
TB_07+13_Mid_RR,TB,3,"axial,planar_rotation,radial",3,0,True
TB_07_A,TB,3,"axial,planar_rotation,radial",3,0,True
TB_07_R,TB,3,"axial,planar_rotation,radial",2,1,True
TB_07_Top_A,TB,3,"axial,planar_rotation,radial",3,0,True
TB_07_Top_R,TB,3,"axial,planar_rotation,radial",2,1,True
TB_13+07_MidTop_AA,TB,3,"axial,planar_rotation,radial",3,0,True
TB_13+07_MidTop_AR,TB,3,"axial,planar_rotation,radial",3,0,True
TB_13+07_MidTop_RA,TB,3,"axial,planar_rotation,radial",3,0,True
TB_13+07_MidTop_RR,TB,3,"axial,planar_rotation,radial",3,0,True
TB_13+07_Mid_AA,TB,3,"axial,planar_rotation,radial",3,0,True
TB_13+07_Mid_AR,TB,3,"axial,planar_rotation,radial",3,0,True
TB_13+07_Mid_RA,TB,3,"axial,planar_rotation,radial",3,0,True
TB_13+07_Mid_RR,TB,3,"axial,planar_rotation,radial",3,0,True
TB_13_A,TB,3,"axial,planar_rotation,radial",2,1,True
TB_13_R,TB,3,"axial,planar_rotation,radial",3,0,True
TB_13_Top_A,TB,3,"axial,planar_rotation,radial",2,1,True
TB_13_Top_R,TB,3,"axial,planar_rotation,radial",2,1,True
