exp_id,support_type,configuration,test_direction_code,mode,fit_group,candidate_channel_count,candidate_channels,auxiliary_valid_channel_count,auxiliary_valid_channels,decision_class,fft_target_estimate_hz,time_domain_estimate_median_hz,time_domain_estimate_min_hz,time_domain_estimate_max_hz,fft_time_relative_difference_median_pct,N_decay_valid_min,N_decay_valid_median,N_decay_all_min,final_adopted_frequency_hz,final_frequency_source,final_channel_or_aggregation,selection_reason,included_stiffness_baseline,included_stiffness_29_excluded_sensitivity,damping_valid_channel_count,included_damping_baseline,included_damping_29_excluded_sensitivity,included_NLI_baseline,included_NLI_29_excluded_sensitivity,auxiliary_note_counts
CA_07+13_Mid_AA,CA,CA_07+13_Mid,AA,axial,CA,20,"ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_09,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20",7,"ch_02,ch_05,ch_06,ch_13,ch_14,ch_17,ch_18",auxiliary-rule-supported,0.342099994421,0.339526748217,0.335108727434,0.347649857211,-0.752191244128,130.859713556,240.939931351,3.10695214933,0.3421,COMPARE_6.xlsx condition-level frequency,not encoded in the frozen condition-level source,The historical condition-level frequency is supported by at least one channel passing the auxiliary rules; the auxiliary rules did not replace the documented manual decision.,True,True,7,True,True,False,False,fast-decay:1; invalid: low_r_squared:4; invalid: method_disagreement:8; quantitative:7
CA_07+13_Mid_AA,CA,CA_07+13_Mid,AA,planar_rotation,CA,20,"ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_09,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20",0,,manual-critical,0.411799997091,,,,,,,4.58448700762,0.4118,COMPARE_6.xlsx condition-level frequency,not encoded in the frozen condition-level source,No channel passed all auxiliary rules; the frozen historical condition-level frequency therefore remains manual-critical.,True,False,0,False,False,False,False,fast-decay:1; invalid: low_r_squared:4; invalid: method_disagreement:10; invalid: poor_band_rejection:4; invalid: too_short:1
CA_07+13_Mid_AA,CA,CA_07+13_Mid,AA,radial,CA,20,"ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_09,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20",7,"ch_02,ch_05,ch_06,ch_13,ch_14,ch_17,ch_18",auxiliary-rule-supported,0.342099994421,0.339526748217,0.335108727434,0.347649857211,-0.752191244128,130.859713556,240.939931351,3.10695214933,0.3421,COMPARE_6.xlsx condition-level frequency,not encoded in the frozen condition-level source,The historical condition-level frequency is supported by at least one channel passing the auxiliary rules; the auxiliary rules did not replace the documented manual decision.,True,True,7,True,True,True,True,fast-decay:1; invalid: low_r_squared:4; invalid: method_disagreement:8; quantitative:7
CA_07+13_Mid_AR,CA,CA_07+13_Mid,AR,axial,CA,20,"ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_09,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20",10,"ch_01,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_13,ch_17,ch_18",auxiliary-rule-supported,0.342500001192,0.342322693665,0.33416210112,0.353349557271,-0.0517686208133,112.917695143,277.645622341,3.07715701071,0.3425,COMPARE_6.xlsx condition-level frequency,not encoded in the frozen condition-level source,The historical condition-level frequency is supported by at least one channel passing the auxiliary rules; the auxiliary rules did not replace the documented manual decision.,True,True,7,True,True,False,False,fast-decay:1; invalid: low_r_squared:1; invalid: method_disagreement:6; invalid: poor_band_rejection:2; quantitative:10
CA_07+13_Mid_AR,CA,CA_07+13_Mid,AR,planar_rotation,CA,20,"ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_09,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20",0,,manual-critical,0.403499990702,,,,,,,6.3834909029,0.4035,COMPARE_6.xlsx condition-level frequency,not encoded in the frozen condition-level source,No channel passed all auxiliary rules; the frozen historical condition-level frequency therefore remains manual-critical.,True,False,0,False,False,False,False,invalid: low_r_squared:7; invalid: method_disagreement:11; invalid: poor_band_rejection:2
CA_07+13_Mid_AR,CA,CA_07+13_Mid,AR,radial,CA,20,"ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_09,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20",10,"ch_01,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_13,ch_17,ch_18",auxiliary-rule-supported,0.342500001192,0.342322693665,0.33416210112,0.353349557271,-0.0517686208133,112.917695143,277.645622341,3.07715701071,0.3425,COMPARE_6.xlsx condition-level frequency,not encoded in the frozen condition-level source,The historical condition-level frequency is supported by at least one channel passing the auxiliary rules; the auxiliary rules did not replace the documented manual decision.,True,True,7,True,True,True,True,fast-decay:1; invalid: low_r_squared:1; invalid: method_disagreement:6; invalid: poor_band_rejection:2; quantitative:10
CA_07+13_Mid_RA,CA,CA_07+13_Mid,RA,axial,CA,20,"ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_09,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20",15,"ch_01,ch_02,ch_04,ch_05,ch_06,ch_07,ch_08,ch_09,ch_10,ch_13,ch_14,ch_17,ch_18,ch_19,ch_20",auxiliary-rule-supported,0.337799996138,0.33649022343,0.334764270609,0.345037815267,-0.387736152483,114.799207303,251.00752303,3.13387190417,0.3378,COMPARE_6.xlsx condition-level frequency,not encoded in the frozen condition-level source,The historical condition-level frequency is supported by at least one channel passing the auxiliary rules; the auxiliary rules did not replace the documented manual decision.,True,True,12,True,True,False,False,fast-decay:1; invalid: method_disagreement:1; invalid: poor_band_rejection:3; quantitative:15
CA_07+13_Mid_RA,CA,CA_07+13_Mid,RA,planar_rotation,CA,20,"ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_09,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20",0,,manual-critical,0.403899997473,,,,,,,8.95365514398,0.4039,COMPARE_6.xlsx condition-level frequency,not encoded in the frozen condition-level source,No channel passed all auxiliary rules; the frozen historical condition-level frequency therefore remains manual-critical.,True,False,0,False,False,False,False,invalid: low_r_squared:6; invalid: method_disagreement:11; invalid: poor_band_rejection:3
CA_07+13_Mid_RA,CA,CA_07+13_Mid,RA,radial,CA,20,"ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_09,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20",15,"ch_01,ch_02,ch_04,ch_05,ch_06,ch_07,ch_08,ch_09,ch_10,ch_13,ch_14,ch_17,ch_18,ch_19,ch_20",auxiliary-rule-supported,0.337799996138,0.33649022343,0.334764270609,0.345037815267,-0.387736152483,114.799207303,251.00752303,3.13387190417,0.3378,COMPARE_6.xlsx condition-level frequency,not encoded in the frozen condition-level source,The historical condition-level frequency is supported by at least one channel passing the auxiliary rules; the auxiliary rules did not replace the documented manual decision.,True,True,12,True,True,True,True,fast-decay:1; invalid: method_disagreement:1; invalid: poor_band_rejection:3; quantitative:15
CA_07+13_Mid_RR,CA,CA_07+13_Mid,RR,axial,CA,20,"ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_09,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20",7,"ch_04,ch_05,ch_07,ch_08,ch_17,ch_18,ch_19",auxiliary-rule-supported,0.341199994087,0.338328274211,0.333980506465,0.348313968074,-0.841652967645,116.054367069,332.436545199,8.69660780929,0.3412,COMPARE_6.xlsx condition-level frequency,not encoded in the frozen condition-level source,The historical condition-level frequency is supported by at least one channel passing the auxiliary rules; the auxiliary rules did not replace the documented manual decision.,True,True,3,True,True,False,False,invalid: low_r_squared:3; invalid: method_disagreement:10; quantitative:7
