support_type_or_group,mode,stale_summary_count,current_H5_recomputed_count,count_change,stale_summary_median,current_H5_recomputed_median,median_change_pct,frozen_library_input,frozen_input_quantity,used_in_existing_seismic_analyses,lineage_decision
CA,radial,115,115,0,0.00218587315242,0.00218587315242,9.10382880193e-13,0.0022,"zeta_p or zeta_r, as applicable",True,use current H5 recomputation for v6 manuscript statistics; retain frozen library inputs for the existing system model
SR_combined,radial,68,69,1,0.013886073726,0.013812143621,-0.532404669472,0.0118,"zeta_p or zeta_r, as applicable",True,use current H5 recomputation for v6 manuscript statistics; retain frozen library inputs for the existing system model
TB,radial,66,67,1,0.013886073726,0.013812143621,-0.532404669472,,"zeta_p or zeta_r, as applicable",True,use current H5 recomputation for v6 manuscript statistics; retain frozen library inputs for the existing system model
CSB,radial,1,1,0,0.000745920205511,0.000745920205511,4.57411886146e-12,,"zeta_p or zeta_r, as applicable",True,use current H5 recomputation for v6 manuscript statistics; retain frozen library inputs for the existing system model
CSBD,radial,1,1,0,0.0218923965344,0.0218923965344,1.7763568394e-13,,"zeta_p or zeta_r, as applicable",True,use current H5 recomputation for v6 manuscript statistics; retain frozen library inputs for the existing system model
CA,axial,115,115,0,0.00218587315242,0.00218587315242,9.10382880193e-13,0.0022,"zeta_p or zeta_r, as applicable",True,use current H5 recomputation for v6 manuscript statistics; retain frozen library inputs for the existing system model
SR_combined,axial,215,221,6,0.0117758070091,0.0118059236607,0.255750213521,0.0118,"zeta_p or zeta_r, as applicable",True,use current H5 recomputation for v6 manuscript statistics; retain frozen library inputs for the existing system model
TB,axial,186,192,6,0.0127011647872,0.0127699874781,0.541861254185,,"zeta_p or zeta_r, as applicable",True,use current H5 recomputation for v6 manuscript statistics; retain frozen library inputs for the existing system model
CSB,axial,29,29,0,0.0019067362281,0.0019067362281,3.37507799486e-12,,"zeta_p or zeta_r, as applicable",True,use current H5 recomputation for v6 manuscript statistics; retain frozen library inputs for the existing system model
CA,planar_rotation,7,7,0,0.00941014600803,0.00941014600803,9.32587340685e-13,0.0094,"zeta_p or zeta_r, as applicable",True,use current H5 recomputation for v6 manuscript statistics; retain frozen library inputs for the existing system model
SR_combined,planar_rotation,192,193,1,0.0101592499866,0.0101759928234,0.164803866756,0.0102,"zeta_p or zeta_r, as applicable",True,use current H5 recomputation for v6 manuscript statistics; retain frozen library inputs for the existing system model
TB,planar_rotation,161,162,1,0.0110110199654,0.0114400618167,3.89647691716,,"zeta_p or zeta_r, as applicable",True,use current H5 recomputation for v6 manuscript statistics; retain frozen library inputs for the existing system model
CSB,planar_rotation,31,31,0,0.00263377861,0.00263377861,1.24344978758e-12,,"zeta_p or zeta_r, as applicable",True,use current H5 recomputation for v6 manuscript statistics; retain frozen library inputs for the existing system model
