bin_index,amplitude_lower_mm_s,amplitude_upper_mm_s,window_count,NLI_below_5_count,fraction_NLI_below_5_pct,window_weighting,record_level_reweighting,display_rule
0,0.00303142231909,2.9226229828,11654,11268,96.6878325039,equal weight per retained window,False,display only when window_count >= 8
1,2.9226229828,5.84221454329,3562,3456,97.0241437395,equal weight per retained window,False,display only when window_count >= 8
2,5.84221454329,8.76180610378,2331,2246,96.3534963535,equal weight per retained window,False,display only when window_count >= 8
3,8.76180610378,11.6813976643,1980,1923,97.1212121212,equal weight per retained window,False,display only when window_count >= 8
4,11.6813976643,14.6009892247,1614,1561,96.7162329616,equal weight per retained window,False,display only when window_count >= 8
5,14.6009892247,17.5205807852,1366,1311,95.9736456808,equal weight per retained window,False,display only when window_count >= 8
6,17.5205807852,20.4401723457,1182,1085,91.79357022,equal weight per retained window,False,display only when window_count >= 8
7,20.4401723457,23.3597639062,1068,974,91.1985018727,equal weight per retained window,False,display only when window_count >= 8
8,23.3597639062,26.2793554667,851,778,91.4218566392,equal weight per retained window,False,display only when window_count >= 8
9,26.2793554667,29.1989470272,680,651,95.7352941176,equal weight per retained window,False,display only when window_count >= 8
10,29.1989470272,32.1185385877,626,604,96.4856230032,equal weight per retained window,False,display only when window_count >= 8
11,32.1185385877,35.0381301481,537,529,98.5102420857,equal weight per retained window,False,display only when window_count >= 8
12,35.0381301481,37.9577217086,513,504,98.2456140351,equal weight per retained window,False,display only when window_count >= 8
13,37.9577217086,40.8773132691,495,485,97.9797979798,equal weight per retained window,False,display only when window_count >= 8
14,40.8773132691,43.7969048296,449,439,97.7728285078,equal weight per retained window,False,display only when window_count >= 8
15,43.7969048296,46.7164963901,379,369,97.3614775726,equal weight per retained window,False,display only when window_count >= 8
16,46.7164963901,49.6360879506,386,379,98.1865284974,equal weight per retained window,False,display only when window_count >= 8
17,49.6360879506,52.5556795111,315,307,97.4603174603,equal weight per retained window,False,display only when window_count >= 8
18,52.5556795111,55.4752710716,335,326,97.3134328358,equal weight per retained window,False,display only when window_count >= 8
19,55.4752710716,58.394862632,306,297,97.0588235294,equal weight per retained window,False,display only when window_count >= 8
20,58.394862632,61.3144541925,282,277,98.2269503546,equal weight per retained window,False,display only when window_count >= 8
21,61.3144541925,64.234045753,254,249,98.031496063,equal weight per retained window,False,display only when window_count >= 8
22,64.234045753,67.1536373135,262,259,98.8549618321,equal weight per retained window,False,display only when window_count >= 8
23,67.1536373135,70.073228874,266,263,98.8721804511,equal weight per retained window,False,display only when window_count >= 8
24,70.073228874,72.9928204345,221,218,98.6425339367,equal weight per retained window,False,display only when window_count >= 8
25,72.9928204345,75.912411995,235,225,95.7446808511,equal weight per retained window,False,display only when window_count >= 8
26,75.912411995,78.8320035554,216,210,97.2222222222,equal weight per retained window,False,display only when window_count >= 8
27,78.8320035554,81.7515951159,198,194,97.9797979798,equal weight per retained window,False,display only when window_count >= 8
28,81.7515951159,84.6711866764,196,194,98.9795918367,equal weight per retained window,False,display only when window_count >= 8
