subset,support_type,mode,NLI_window_count,NLI_median_pct,NLI_p95_pct,fraction_NLI_below_5_pct
baseline,CA,planar_rotation,828,1.48384156542,5.36190964463,0.944444444444
baseline,CA,radial,18659,0.0606925995792,1.14515064354,0.98670882684
baseline,CSB,axial,4152,0.075113840313,1.20504027726,0.987716763006
baseline,CSB,planar_rotation,599,0.486073169592,4.21192650388,0.958263772955
baseline,CSBD,radial,23,1.10462120298,14.2663074339,0.695652173913
baseline,TB,axial,5225,0.324804383089,7.14112691738,0.932822966507
baseline,TB,planar_rotation,8417,0.260978420977,5.51361241943,0.947606035405
baseline,TB,radial,2006,0.119844781698,3.26845117728,0.964107676969
exclude_29_manual_critical,CA,planar_rotation,828,1.48384156542,5.36190964463,0.944444444444
exclude_29_manual_critical,CA,radial,18659,0.0606925995792,1.14515064354,0.98670882684
exclude_29_manual_critical,CSB,axial,4152,0.075113840313,1.20504027726,0.987716763006
exclude_29_manual_critical,CSB,planar_rotation,599,0.486073169592,4.21192650388,0.958263772955
exclude_29_manual_critical,CSBD,radial,23,1.10462120298,14.2663074339,0.695652173913
exclude_29_manual_critical,TB,axial,5225,0.324804383089,7.14112691738,0.932822966507
exclude_29_manual_critical,TB,planar_rotation,8417,0.260978420977,5.51361241943,0.947606035405
exclude_29_manual_critical,TB,radial,2006,0.119844781698,3.26845117728,0.964107676969
