hanger_id,hanger_type,global_dof,rod_axis_global,pipe_axis_global,counterfactual_physical_direction,l_m,r_m,l_over_r,domain_status,shared_axial_K,counterfactual_direction_specific_K,K_ratio_direction_specific_over_shared,K_change_pct,shared_axial_c,counterfactual_direction_specific_c,c_ratio_direction_specific_over_shared,c_change_pct,audit_scope
OLBA10BQ008,摆_z_TB+CSBD+CSB,Ux,z,x,axial,3.315,0.043,77.0930232558,calibrated,2480.13920526,2480.13920526,1,0,31.0238267633,31.0238267633,1,0,counterfactual parameter audit only; no Abaqus response calculation
OLBA10BQ008,摆_z_TB+CSBD+CSB,Uy,z,x,radial,2.745,0.043,63.8372093023,calibrated,3065.64408178,2841.1197958,0.926761137303,-7.3238862697,34.4919862257,38.8670151102,1.12684189469,12.6841894691,counterfactual parameter audit only; no Abaqus response calculation
OLBA10BQ012,摆_x_TB+CSBD+CSB,Uy,x,z,radial,2.075,0.025,83,calibrated,123703.454733,114128.242615,0.922595434876,-7.74045651241,1229.42296806,1382.24825795,1.12430651929,12.4306519294,counterfactual parameter audit only; no Abaqus response calculation
OLBA10BQ012,摆_x_TB+CSBD+CSB,Uz,x,z,axial,2.075,0.025,83,calibrated,123703.454733,123703.454733,1,0,1229.42296806,1229.42296806,1,0,counterfactual parameter audit only; no Abaqus response calculation
OLBA10BQ013,摆_z_TB+CSBD+CSB,Ux,z,y,radial,2.059,0.043,47.8837209302,calibrated,455721.112741,428136.587296,0.939470600167,-6.05293998328,4351.60196906,4937.07630795,1.13454225434,13.4542254336,counterfactual parameter audit only; no Abaqus response calculation
OLBA10BQ013,摆_z_TB+CSBD+CSB,Uy,z,y,axial,2.059,0.043,47.8837209302,calibrated,455721.112741,455721.112741,1,0,4351.60196906,4351.60196906,1,0,counterfactual parameter audit only; no Abaqus response calculation
OLBA10BQ014,摆_y_TB+CSBD+CSB,Ux,y,y,radial,2,0.03,66.6666666667,calibrated,103879.639222,96157.0527357,0.92565832396,-7.43416760395,1000.41550064,1126.63916876,1.1261712439,12.6171243896,counterfactual parameter audit only; no Abaqus response calculation
OLBA10BQ014,摆_y_TB+CSBD+CSB,Uz,y,y,radial,2,0.03,66.6666666667,calibrated,103879.639222,96157.0527357,0.92565832396,-7.43416760395,1000.41550064,1126.63916876,1.1261712439,12.6171243896,counterfactual parameter audit only; no Abaqus response calculation
OLBA10BQ015,摆_z_TB+CSBD+CSB,Ux,z,y,radial,1.285,0.039,32.9487179487,extrapolated,6817.15853329,6648.1740208,0.975211884589,-2.47881154107,49.8308787931,57.600614567,1.15592211019,15.5922110186,counterfactual parameter audit only; no Abaqus response calculation
OLBA10BQ015,摆_z_TB+CSBD+CSB,Uy,z,y,axial,0.86,0.039,22.0512820513,extrapolated,11060.261283,11060.261283,1,0,63.4716141118,63.4716141118,1,0,counterfactual parameter audit only; no Abaqus response calculation
OLBA10BQ016,摆_z_TB+CSBD+CSB,Ux,z,x,axial,1.787,0.03,59.5666666667,calibrated,9520.16676259,9520.16676259,1,0,86.0277693754,86.0277693754,1,0,counterfactual parameter audit only; no Abaqus response calculation
OLBA10BQ016,摆_z_TB+CSBD+CSB,Uy,z,x,radial,1.787,0.03,59.5666666667,calibrated,9520.16676259,8843.47427018,0.928920100951,-7.10798990485,86.0277693754,97.0525433123,1.128153665,12.8153664996,counterfactual parameter audit only; no Abaqus response calculation
OLBA10BQ017,摆_z_TB+CSBD+CSB,Ux,z,x,axial,1.788,0.039,45.8461538462,calibrated,104272.655052,104272.655052,1,0,924.74117518,924.74117518,1,0,counterfactual parameter audit only; no Abaqus response calculation
OLBA10BQ017,摆_z_TB+CSBD+CSB,Uy,z,x,radial,1.534,0.039,39.3333333333,extrapolated,124602.689942,118995.912756,0.955002759657,-4.49972403426,1010.8778687,1156.32543887,1.14388243592,14.3882435924,counterfactual parameter audit only; no Abaqus response calculation
OLBA10BQ018,摆_z_TB+CSBD+CSB,Ux,z,y,radial,1.5985,0.036,44.4027777778,extrapolated,682026.911658,644289.787395,0.944669156573,-5.53308434273,5704.67543314,6490.07755458,1.13767691618,13.7676916179,counterfactual parameter audit only; no Abaqus response calculation
OLBA10BQ018,摆_z_TB+CSBD+CSB,Uy,z,y,axial,1.802,0.036,50.0555555556,calibrated,593965.70772,593965.70772,1,0,5323.6668575,5323.6668575,1,0,counterfactual parameter audit only; no Abaqus response calculation
