exp_id,channel_id,channel_label,classification,classification_reason,confidence,experiment_action,experiment_level_proposed_factor,has_adjusted_signal,actual_channel_factor,downstream_dataset_read,raw_signal_sha256,adjusted_signal_sha256,downstream_signal_sha256,adjusted_equals_raw_times_factor,multiply_max_abs_error,multiply_max_rel_error,row_index,row_flag
TB_13_Top_R,ch_01,1#1,suspected_gain_mismatch,manual override: confirmed by experiment context as wrong speed-range setting,high,write_adjusted_signal,59.0814196242,False,,signal,5fa4227de3d0660e70b9874ae8c289080aa66041cf6259d09a76a23feee1872b,,5fa4227de3d0660e70b9874ae8c289080aa66041cf6259d09a76a23feee1872b,not_applicable,,,1,ok
TB_13_Top_R,ch_02,1#2,suspected_gain_mismatch,manual override: confirmed by experiment context as wrong speed-range setting,high,write_adjusted_signal,59.0814196242,False,,signal,21dd7328981a866004b59f595a1f6240dcb2c0bf4fe90f62d8c1f43fa83ef834,,21dd7328981a866004b59f595a1f6240dcb2c0bf4fe90f62d8c1f43fa83ef834,not_applicable,,,1,ok
TB_13_Top_R,ch_03,1#3,suspected_gain_mismatch,manual override: confirmed by experiment context as wrong speed-range setting,high,write_adjusted_signal,59.0814196242,False,,signal,75ba572cc49819ca5ed1d41accd5bb9569cb54e8c2d2c0be1de40e87ce43bebf,,75ba572cc49819ca5ed1d41accd5bb9569cb54e8c2d2c0be1de40e87ce43bebf,not_applicable,,,1,ok
TB_13_Top_R,ch_04,1#4,suspected_gain_mismatch,manual override: confirmed by experiment context as wrong speed-range setting,high,write_adjusted_signal,59.0814196242,False,,signal,ae84849bd9ceb792939d7ff36fca42b7f604557bf3cf3fcfc1e05a4565c513ed,,ae84849bd9ceb792939d7ff36fca42b7f604557bf3cf3fcfc1e05a4565c513ed,not_applicable,,,1,ok
TB_13_Top_R,ch_05,2#1,suspected_gain_mismatch,manual override: confirmed by experiment context as wrong speed-range setting,high,write_adjusted_signal,59.0814196242,True,58.0281677246,signal_adjusted,3df684c23bbfb794be40c790b9a00b1d5bce35cae0f3e58667f0ac0f88b03c02,486fd43f789c85f543f42679b09a7a8567a12a39da8dd1b94f257f2443c55236,486fd43f789c85f543f42679b09a7a8567a12a39da8dd1b94f257f2443c55236,PASS_FLOAT_STORAGE_TOLERANCE,4.7470575737e-07,5.83117002125e-08,2,confirmed_adjusted
TB_13_Top_R,ch_06,2#2,suspected_gain_mismatch,manual override: confirmed by experiment context as wrong speed-range setting,high,write_adjusted_signal,59.0814196242,True,58.9041099548,signal_adjusted,6b4b8a8b215846ac86774dc0fbd301d86e76949d2b46c0fec7ff0cbcecd8c08a,3686a00a76301ca5ad179931e0447fc5162cc1365af6d985c9f3b2396ff1e882,3686a00a76301ca5ad179931e0447fc5162cc1365af6d985c9f3b2396ff1e882,PASS_FLOAT_STORAGE_TOLERANCE,4.72866474865e-07,5.81443050751e-08,2,confirmed_adjusted
TB_13_Top_R,ch_07,2#3,suspected_gain_mismatch,manual override: confirmed by experiment context as wrong speed-range setting,high,write_adjusted_signal,59.0814196242,True,58.1717453003,signal_adjusted,bcac6ab9651c6991c6a83facdf905cf5fd3f042dc259cf4e0b3120ae305f07cd,e2ffa7229cf49c32a4f96889ac079bb6ea874c32002ec60ce4a6c9f8be511028,e2ffa7229cf49c32a4f96889ac079bb6ea874c32002ec60ce4a6c9f8be511028,PASS_FLOAT_STORAGE_TOLERANCE,1.22846395243e-05,5.72512942544e-08,2,confirmed_adjusted
TB_13_Top_R,ch_08,2#4,suspected_gain_mismatch,manual override: confirmed by experiment context as wrong speed-range setting,high,write_adjusted_signal,59.0814196242,True,61.2359542847,signal_adjusted,f9516c7743af07c1b76506cd0751dd849da7486a3e63fa6d8d7d6f3c740431e2,c872dada5a6eb8025d5a6899161f4e052c5eea2bde501a4ae32eb19c6346bf1a,c872dada5a6eb8025d5a6899161f4e052c5eea2bde501a4ae32eb19c6346bf1a,PASS_FLOAT_STORAGE_TOLERANCE,1.51861459017e-05,5.79452770173e-08,2,confirmed_adjusted
TB_13_Top_R,ch_09,3#1,suspected_gain_mismatch,manual override: confirmed by experiment context as wrong speed-range setting,high,write_adjusted_signal,59.0814196242,True,58.0281677246,signal_adjusted,d51d93fa3555f92711ff12302b2eab99624d17f01f6b0682bc0f2f42735bdfce,aec39ca95ebdaf6f15341815cadc42165b23a624a41010b1c06f0061fb80893b,aec39ca95ebdaf6f15341815cadc42165b23a624a41010b1c06f0061fb80893b,PASS_FLOAT_STORAGE_TOLERANCE,1.873671863e-06,5.83117002125e-08,3,confirmed_adjusted
TB_13_Top_R,ch_10,3#2,suspected_gain_mismatch,manual override: confirmed by experiment context as wrong speed-range setting,high,write_adjusted_signal,59.0814196242,True,58.9041099548,signal_adjusted,fc5541114a36f33003e0e3b90b76ffca9ad4637dcdb94b8c208ae980df376993,825311be76d2c2b01e2d01a8424c5daaa5a74af295d205eab1ae81d56e6fede3,825311be76d2c2b01e2d01a8424c5daaa5a74af295d205eab1ae81d56e6fede3,PASS_FLOAT_STORAGE_TOLERANCE,1.88299623005e-06,5.81443050751e-08,3,confirmed_adjusted
TB_13_Top_R,ch_11,3#3,suspected_gain_mismatch,manual override: confirmed by experiment context as wrong speed-range setting,high,write_adjusted_signal,59.0814196242,True,58.1717453003,signal_adjusted,224a3be290b7e7d9309e43b526217bc65dfc399f3fb77a112ef833a60b493940,d56c10d4fcc17fd4f814af42e3b5ea08cd3f83e9d12c5b6a9a716bba7846578b,d56c10d4fcc17fd4f814af42e3b5ea08cd3f83e9d12c5b6a9a716bba7846578b,PASS_FLOAT_STORAGE_TOLERANCE,1.51666572492e-05,5.87300458846e-08,3,confirmed_adjusted
TB_13_Top_R,ch_12,3#4,suspected_gain_mismatch,manual override: confirmed by experiment context as wrong speed-range setting,high,write_adjusted_signal,59.0814196242,True,61.2359542847,signal_adjusted,4570110e223b19f2403251dd7a8cb50fa4d167364d505411ffddbc7ac6ad5a8e,1da06a50e344d35c785e194f2f7fb25f035ff743fd4cf19356bbd072bdff79a9,1da06a50e344d35c785e194f2f7fb25f035ff743fd4cf19356bbd072bdff79a9,PASS_FLOAT_STORAGE_TOLERANCE,1.36606649903e-05,5.87694999531e-08,3,confirmed_adjusted
TB_13_Top_R,ch_13,4#1,suspected_gain_mismatch,manual override: confirmed by experiment context as wrong speed-range setting,high,write_adjusted_signal,59.0814196242,False,,signal,3042f13ee43d7957ee55df5507de61e2f5fb01beb6bb06d7e996652eb3e9ee46,,3042f13ee43d7957ee55df5507de61e2f5fb01beb6bb06d7e996652eb3e9ee46,not_applicable,,,4,ok
TB_13_Top_R,ch_14,4#2,suspected_gain_mismatch,manual override: confirmed by experiment context as wrong speed-range setting,high,write_adjusted_signal,59.0814196242,False,,signal,24732e1cf7db8c7842b500de1a1a644182dc49fcef6b11fa18f16bb2fcf8c3b4,,24732e1cf7db8c7842b500de1a1a644182dc49fcef6b11fa18f16bb2fcf8c3b4,not_applicable,,,4,ok
TB_13_Top_R,ch_15,4#3,suspected_gain_mismatch,manual override: confirmed by experiment context as wrong speed-range setting,high,write_adjusted_signal,59.0814196242,False,,signal,f7ce0657f19d416a7f45ed1c9e9226824bd86119801d9fb3099c0b727e37e3c4,,f7ce0657f19d416a7f45ed1c9e9226824bd86119801d9fb3099c0b727e37e3c4,not_applicable,,,4,ok
TB_13_Top_R,ch_16,4#4,suspected_gain_mismatch,manual override: confirmed by experiment context as wrong speed-range setting,high,write_adjusted_signal,59.0814196242,False,,signal,8479424207379aa8c03d8e3d07f285b1724b403ef0ce17031a9c4a8639c24a95,,8479424207379aa8c03d8e3d07f285b1724b403ef0ce17031a9c4a8639c24a95,not_applicable,,,4,ok
TB_13_Top_R,ch_17,5#1,suspected_gain_mismatch,manual override: confirmed by experiment context as wrong speed-range setting,high,write_adjusted_signal,59.0814196242,False,,signal,cd8d7d93b6b08c593f26679ae20b0ef5377bdee5eed8f4195a346d6b6a3396ef,,cd8d7d93b6b08c593f26679ae20b0ef5377bdee5eed8f4195a346d6b6a3396ef,not_applicable,,,5,ok
TB_13_Top_R,ch_18,5#2,suspected_gain_mismatch,manual override: confirmed by experiment context as wrong speed-range setting,high,write_adjusted_signal,59.0814196242,False,,signal,f62040c39ba0d4c6cdf7b66ab9252d8a7a30a0d66362fb9ac63cc536dc1def4c,,f62040c39ba0d4c6cdf7b66ab9252d8a7a30a0d66362fb9ac63cc536dc1def4c,not_applicable,,,5,ok
