subset,fit_group,mode,n,A,B,A_ci_lo,A_ci_hi,B_ci_lo,B_ci_hi,R2,RMSE_Hz,MAE_Hz,lr_min,lr_max,cv_scheme,cv_R2,cv_RMSE_Hz,critical_l_over_r,median_prediction_change_pct,max_prediction_change_pct
baseline,CA,radial,16,272.820214605,-0.404527217364,-55.5516621713,601.192091381,-0.637249156729,-0.171805278,0.996469770009,0.00735153301444,0.00581483276843,92.375,292.25,5-fold,0.994847128095,0.00888180195381,279.438930041,,
exclude_29_manual_critical,CA,radial,16,272.820214605,-0.404527217364,-55.5516621713,601.192091381,-0.637249156729,-0.171805278,0.996469770009,0.00735153301444,0.00581483276843,92.375,292.25,5-fold,0.994847128095,0.00888180195381,279.438930041,,
baseline,CA,axial,16,272.820214605,-0.404527217364,-55.5516621713,601.192091381,-0.637249156729,-0.171805278,0.996469770009,0.00735153301444,0.00581483276843,92.375,292.25,5-fold,0.994847128095,0.00888180195381,279.438930041,,
exclude_29_manual_critical,CA,axial,16,272.820214605,-0.404527217364,-55.5516621713,601.192091381,-0.637249156729,-0.171805278,0.996469770009,0.00735153301444,0.00581483276843,92.375,292.25,5-fold,0.994847128095,0.00888180195381,279.438930041,,
baseline,CA,planar_rotation,16,26080.0051896,-1.21285185421,-1428.68036799,53588.6907472,-1.42963712391,-0.99606658451,0.973693834523,0.0226444241574,0.0192658878073,92.375,292.25,5-fold,0.96380867162,0.026560409665,,,
exclude_29_manual_critical,CA,planar_rotation,5,31808.6580441,-1.25443436213,-1142.41965883,64759.7357469,-1.47129029299,-1.03757843127,0.993030274999,0.0128507169543,0.00963552577803,92.375,292.25,LOOCV,0.925987602735,0.0418766345789,,,
baseline,OTHERS,radial,40,30.4583919795,-0.293382040043,-70.7374195767,131.654203536,-0.916200468884,0.329436388798,0.974037977839,0.0109507287559,0.00635654058036,80.2777777778,385.875,5-fold,0.944938163265,0.0159477386867,83.2376229385,,
exclude_29_manual_critical,OTHERS,radial,30,0.313842543914,0.509827461469,-1.70193960011,2.32962468794,-0.599640660458,1.6192955834,0.983381582719,0.00745386321209,0.00335549703432,80.2777777778,385.875,5-fold,0.965720161516,0.0107054757554,10.3119492136,,
baseline,OTHERS,axial,40,4.11240407931,0.307356806581,-1.71099569856,9.93580385717,0.0481284716885,0.566585141474,0.977798435077,0.0166530920037,0.00952704113583,45,337.125,5-fold,0.964108259692,0.0211738750528,213.96481892,,
exclude_29_manual_critical,OTHERS,axial,36,2.09576500706,0.426272999802,-1.99792839659,6.18945841071,0.0747724629871,0.777773536617,0.981936321774,0.0124510427597,0.00729416904585,45,337.125,5-fold,0.970926346295,0.0157961932057,200.949039639,,
baseline,OTHERS,planar_rotation,40,2080.49162942,-0.869904092086,864.452185151,3296.53107369,-1.00101197527,-0.738796208898,0.974712498259,0.0250675885012,0.0164738290823,45,337.125,5-fold,0.925798564887,0.0429403664672,,,
exclude_29_manual_critical,OTHERS,planar_rotation,36,1314.56064558,-0.783508911961,642.603072921,1986.51821824,-0.89353275878,-0.673485065143,0.983520989818,0.017730488892,0.0135142286884,45,337.125,5-fold,0.980611954647,0.0192318987207,,,
comparison,CA,radial,16,0,0,,,,,0,0,0,92.375,292.25,difference from baseline,0,0,0,0,0
comparison,CA,axial,16,0,0,,,,,0,0,0,92.375,292.25,difference from baseline,0,0,0,0,0
comparison,CA,planar_rotation,5,21.9656890894,-0.0415825079188,,,,,0.0193364404755,-0.00979370720311,-0.00963036202927,92.375,292.25,difference from baseline,-0.0378210688852,0.015316224914,,0.612937320243,0.761157148566
comparison,OTHERS,radial,30,-98.969602387,0.803209501512,,,,,0.00934360487919,-0.00349686554381,-0.00300104354604,80.2777777778,385.875,difference from baseline,0.0207819982514,-0.00524226293132,-72.9256737249,0.156980163901,3.136819497
comparison,OTHERS,axial,36,-49.0379601167,0.118916193221,,,,,0.00413788669689,-0.00420204924399,-0.00223287208998,45,337.125,difference from baseline,0.00681808660272,-0.00537768184716,-13.0157792805,0.0901990952914,2.28507193202
comparison,OTHERS,planar_rotation,36,-36.8149034108,0.0863951801242,,,,,0.00880849155945,-0.00733709960922,-0.00295960039382,45,337.125,difference from baseline,0.0548133897595,-0.0237084677465,,0.513444504156,3.81401587293
